Epoch,Batch,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Divergence_Loss,Supervised_Loss,TSA_Limit
1.0,1.0,6.25,,6.25,0.00812784768640995,0.24193523824214935,0.1
1.0,2.0,6.25,,6.25,0.007234301883727312,0.24003806710243225,0.10009000000000001
1.0,3.0,6.25,,6.25,0.002876962535083294,0.23691634833812714,0.10018
1.0,4.0,0.0,,4.6875,0.0024932886008173227,0.23468279838562012,0.10027000000000001
1.0,5.0,6.25,,5.0,0.0008915569633245468,0.23311235010623932,0.10036
1.0,6.0,18.75,,7.291666666666667,0.0003879674768541008,0.23196227848529816,0.10045000000000001
1.0,7.0,18.75,,8.928571428571429,0.0001948957215063274,0.23177404701709747,0.10054
1.0,8.0,6.25,,8.59375,8.125833119265735e-05,0.23136363923549652,0.10063000000000001
1.0,9.0,12.5,,9.027777777777779,8.525446173734963e-05,0.23133142292499542,0.10072
1.0,10.0,25.0,,10.625,5.0974442274309695e-05,0.2309636026620865,0.10081000000000001
1.0,11.0,12.5,,10.795454545454545,4.841823101742193e-05,0.2307928204536438,0.1009
1.0,12.0,18.75,,11.458333333333334,4.3524087232071906e-05,0.23036706447601318,0.10099000000000001
1.0,13.0,18.75,,12.01923076923077,2.716932795010507e-05,0.2301991581916809,0.10108
1.0,14.0,6.25,,11.607142857142858,3.075162385357544e-05,0.23034115135669708,0.10117000000000001
1.0,15.0,18.75,,12.083333333333334,2.4094857508316636e-05,0.23008562624454498,0.10126
1.0,16.0,6.25,,11.71875,4.0952763811219484e-05,0.23041486740112305,0.10135000000000001
1.0,17.0,0.0,,11.029411764705882,3.62894352292642e-05,0.23061159253120422,0.10144
1.0,18.0,0.0,,10.416666666666666,3.511077011353336e-05,0.2304789274930954,0.10153000000000001
1.0,19.0,18.75,,10.855263157894736,3.426262264838442e-05,0.23024873435497284,0.10162
1.0,20.0,12.5,,10.9375,1.8385901057627052e-05,0.23012137413024902,0.10171000000000001
1.0,21.0,6.25,,10.714285714285714,2.4136916181305423e-05,0.23029664158821106,0.1018
1.0,22.0,12.5,,10.795454545454545,2.180071714974474e-05,0.23020116984844208,0.10189000000000001
1.0,23.0,18.75,,11.141304347826088,2.4659380869707093e-05,0.23032227158546448,0.10198
1.0,24.0,6.25,,10.9375,1.741604137350805e-05,0.23042650520801544,0.10207000000000001
1.0,25.0,18.75,,11.25,1.9767185222008266e-05,0.23023948073387146,0.10216
1.0,26.0,12.5,,11.298076923076923,1.9921462808270007e-05,0.23071439564228058,0.10225000000000001
1.0,27.0,6.25,,11.11111111111111,2.6366973543190397e-05,0.23049350082874298,0.10234
1.0,28.0,12.5,,11.160714285714286,3.182790533173829e-05,0.23021702468395233,0.10243000000000001
1.0,29.0,0.0,,10.775862068965518,1.5253581295837648e-05,0.23023948073387146,0.10252
1.0,30.0,6.25,,10.625,2.3294875063584186e-05,0.23023119568824768,0.10261
1.0,31.0,12.5,,10.685483870967742,1.6366153431590647e-05,0.23008254170417786,0.1027
1.0,32.0,0.0,,10.3515625,1.7349018889945e-05,0.2301497906446457,0.10279
1.0,33.0,0.0,,10.037878787878787,1.7671305613475852e-05,0.230214923620224,0.10288
1.0,34.0,12.5,,10.110294117647058,9.545015927869827e-06,0.23051631450653076,0.10297
1.0,35.0,12.5,,10.178571428571429,2.17337001231499e-05,0.23046796023845673,0.10306
1.0,36.0,12.5,,10.243055555555555,2.5903578716679476e-05,0.23001432418823242,0.10315
1.0,37.0,12.5,,10.304054054054054,1.530568624730222e-05,0.23009710013866425,0.10324
1.0,38.0,25.0,,10.69078947368421,2.6842622901313007e-05,0.229941725730896,0.10333
1.0,39.0,12.5,,10.737179487179487,2.510018202883657e-05,0.22966086864471436,0.10342000000000001
