Epoch,Batch,Iteration,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Unsupervised_Loss,Supervised_Loss
1.0,1.0,0.0,25.0,,25.0,0.000321557919960469,2.3150856494903564
1.0,2.0,1.0,15.625,,20.3125,0.00021068302157800645,2.291929006576538
1.0,3.0,2.0,25.0,,21.875,0.00021037836268078536,2.263413667678833
1.0,4.0,3.0,3.125,,17.1875,0.00023449890431948006,2.39473819732666
1.0,5.0,4.0,6.25,,15.0,0.00010741053847596049,2.3030848503112793
1.0,6.0,5.0,3.125,,13.020833333333334,4.3633015593513846e-05,2.336756467819214
1.0,7.0,6.0,21.875,,14.285714285714286,2.44463917624671e-05,2.2883105278015137
1.0,8.0,7.0,18.75,,14.84375,1.3382817087403964e-05,2.282395839691162
1.0,9.0,8.0,9.375,,14.23611111111111,1.3886630767956376e-05,2.320113182067871
1.0,10.0,9.0,0.0,,12.8125,1.4011701750860084e-05,2.3119115829467773
1.0,11.0,10.0,9.375,,12.5,1.0422429113532417e-05,2.309206485748291
1.0,12.0,11.0,25.0,,13.541666666666666,8.944371984398458e-06,2.2836666107177734
1.0,13.0,12.0,15.625,,13.701923076923077,1.0758539247035515e-05,2.3044912815093994
1.0,14.0,13.0,18.75,,14.0625,8.782362783676945e-06,2.301409959793091
1.0,15.0,14.0,0.0,,13.125,1.1526039088494144e-05,2.3197970390319824
1.0,16.0,15.0,12.5,,13.0859375,8.872326361597516e-06,2.294203758239746
1.0,17.0,16.0,0.0,,12.316176470588236,8.124426130962092e-06,2.303351879119873
1.0,18.0,17.0,12.5,,12.32638888888889,7.134786756068934e-06,2.2960352897644043
1.0,19.0,18.0,21.875,,12.828947368421053,6.589366421394516e-06,2.3033554553985596
1.0,20.0,19.0,3.125,,12.34375,8.889064702088945e-06,2.3082528114318848
1.0,21.0,20.0,12.5,,12.351190476190476,7.83281575422734e-06,2.306226968765259
1.0,22.0,21.0,9.375,,12.215909090909092,5.948947546130512e-06,2.2943027019500732
1.0,23.0,22.0,9.375,,12.092391304347826,6.706726708216593e-06,2.2949771881103516
1.0,24.0,23.0,9.375,,11.979166666666666,6.435577233787626e-06,2.2976784706115723
1.0,25.0,24.0,0.0,,11.5,9.021536243380979e-06,2.310368537902832
1.0,26.0,25.0,12.5,,11.538461538461538,7.715478204772808e-06,2.2901525497436523
1.0,27.0,26.0,9.375,,11.458333333333334,1.2555855391838122e-05,2.2808756828308105
1.0,28.0,27.0,12.5,,11.495535714285714,1.7107196981669404e-05,2.3013954162597656
1.0,29.0,28.0,6.25,,11.314655172413794,3.000889228133019e-05,2.308147430419922
1.0,30.0,29.0,12.5,,11.354166666666666,3.19044993375428e-05,2.291680335998535
1.0,31.0,30.0,15.625,,11.491935483870968,2.6531135517871007e-05,2.2947211265563965
1.0,32.0,31.0,15.625,,11.62109375,2.136969669663813e-05,2.278257369995117
1.0,33.0,32.0,15.625,,11.742424242424242,2.1254491002764553e-05,2.3053476810455322
1.0,34.0,33.0,21.875,,12.040441176470589,1.2678009625233244e-05,2.282083511352539
1.0,35.0,34.0,15.625,,12.142857142857142,1.9191811588825658e-05,2.2761354446411133
1.0,36.0,35.0,12.5,,12.152777777777779,1.5819392501725815e-05,2.271116256713867
1.0,37.0,36.0,12.5,,12.162162162162161,4.941980660078116e-05,2.2530016899108887
1.0,38.0,37.0,18.75,,12.335526315789474,9.165667870547622e-05,2.2911977767944336
1.0,39.0,38.0,25.0,,12.66025641025641,0.0001367010409012437,2.2384438514709473
1.0,40.0,39.0,12.5,,12.65625,0.0001251568755833432,2.267369031906128
1.0,41.0,40.0,25.0,,12.957317073170731,0.00010863695933949202,2.190521717071533
1.0,42.0,41.0,12.5,,12.946428571428571,0.00012693942699115723,2.25369930267334
1.0,43.0,42.0,9.375,,12.863372093023257,0.00017522144480608404,2.2267770767211914
