Epoch,Batch,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Divergence_Loss,Supervised_Loss,TSA_Limit
1.0,1.0,12.5,,12.5,0.07170591503381729,0.23668381571769714,0.1
1.0,2.0,12.5,,12.5,0.341327965259552,0.23394301533699036,0.10562500000000001
1.0,3.0,12.5,,12.5,0.041650813072919846,0.2323836386203766,0.11125
1.0,4.0,25.0,,15.625,0.0043856315314769745,0.22893492877483368,0.116875
1.0,5.0,0.0,,12.5,0.002328826580196619,0.23050501942634583,0.12250000000000001
1.0,6.0,14.285715103149414,,12.797619183858236,0.0019381307065486908,0.2298669070005417,0.12812500000000002
1.0,7.0,28.571430206298828,,15.051020758492607,0.0014383707894012332,0.23003824055194855,0.13375
1.0,8.0,10.579999923706055,,20.312500715255737,0.0008159747812896967,0.22908657789230347,0.139375
2.0,1.0,12.5,,12.5,0.0005131157231517136,0.22979803383350372,0.14500000000000002
2.0,2.0,0.0,,6.25,0.00034168121055699885,0.2302297055721283,0.150625
2.0,3.0,50.0,,20.833333333333332,0.000274520309176296,0.22993877530097961,0.15625
2.0,4.0,0.0,,15.625,0.00022702878050040454,0.2302958071231842,0.16187500000000002
2.0,5.0,14.285715103149414,,15.357143020629882,0.00019032599811907858,0.230496346950531,0.1675
2.0,6.0,28.571430206298828,,17.559524218241375,0.00016076788597274572,0.230099618434906,0.17312500000000003
2.0,7.0,14.285715103149414,,17.091837201799667,0.00015666538092773408,0.23028002679347992,0.17875000000000002
2.0,8.0,10.09000015258789,,18.52678632736206,0.00012787965533789247,0.2296929806470871,0.184375
3.0,1.0,25.0,,25.0,0.00012780987890437245,0.23026308417320251,0.19
3.0,2.0,12.5,,18.75,0.00010912524157902226,0.23016881942749023,0.195625
3.0,3.0,37.5,,25.0,9.785685688257217e-05,0.22982661426067352,0.20125
3.0,4.0,0.0,,18.75,0.00011002108658431098,0.23026831448078156,0.206875
3.0,5.0,14.285715103149414,,17.857143020629884,0.00012606484233401716,0.2303338199853897,0.21250000000000002
3.0,6.0,28.571430206298828,,19.642857551574707,0.00010973701864713803,0.229941263794899,0.218125
3.0,7.0,14.285715103149414,,18.87755148751395,0.00011243369954172522,0.2301815003156662,0.22375
3.0,8.0,10.09000015258789,,20.08928632736206,0.00011887462460435927,0.22990526258945465,0.229375
4.0,1.0,12.5,,12.5,0.00011737966269720346,0.2301183044910431,0.23500000000000001
4.0,2.0,0.0,,6.25,0.00010728210327215493,0.23014894127845764,0.240625
4.0,3.0,37.5,,16.666666666666668,0.00010786415077745914,0.2300148904323578,0.24625000000000002
4.0,4.0,0.0,,12.5,0.00010616509098326787,0.230343297123909,0.251875
