Epoch,Batch,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Divergence_Loss,Supervised_Loss,TSA_Limit
1.0,1.0,12.5,,12.5,0.02100578136742115,0.23679466545581818,0.1
1.0,2.0,0.0,,6.25,0.0009627066319808364,0.23402218520641327,0.10562500000000001
1.0,3.0,25.0,,12.5,0.021255187690258026,0.22963915765285492,0.11125
1.0,4.0,12.5,,12.5,0.0005077705718576908,0.22970792651176453,0.116875
1.0,5.0,14.285715103149414,,12.857143020629882,0.000621290470007807,0.22876417636871338,0.12250000000000001
1.0,6.0,28.571430206298828,,15.476190884908041,0.0003827274194918573,0.22824513912200928,0.12812500000000002
1.0,7.0,14.285715103149414,,15.30612291608538,0.0005050991894677281,0.229991614818573,0.13375
1.0,8.0,0.0,28.920000076293945,13.392857551574707,0.0004616131482180208,0.22929628193378448,0.139375
2.0,1.0,37.5,,37.5,0.00043211336014792323,0.228664830327034,0.14500000000000002
2.0,2.0,25.0,,31.25,0.000425945152528584,0.22861886024475098,0.150625
2.0,3.0,25.0,,29.166666666666668,0.0003987652016803622,0.22785940766334534,0.15625
2.0,4.0,25.0,,28.125,0.000544674985576421,0.22979781031608582,0.16187500000000002
2.0,5.0,14.285715103149414,,25.357143020629884,0.0010600914247334003,0.2292988896369934,0.1675
2.0,6.0,28.571430206298828,,25.892857551574707,0.00023292795231100172,0.2275734543800354,0.17312500000000003
2.0,7.0,42.85714340209961,,28.31632695879255,0.0009866154287010431,0.22615429759025574,0.17875000000000002
2.0,8.0,14.285715103149414,31.299999237060547,26.562500476837158,0.0012139319442212582,0.22622530162334442,0.184375
3.0,1.0,37.5,,37.5,0.0006768160965293646,0.22539952397346497,0.19
3.0,2.0,25.0,,31.25,0.0006459661526605487,0.22526521980762482,0.195625
3.0,3.0,37.5,,33.333333333333336,0.0015005054883658886,0.22347517311573029,0.20125
3.0,4.0,37.5,,34.375,0.0024382274132221937,0.22800660133361816,0.206875
3.0,5.0,28.571430206298828,,33.21428604125977,0.0013713007792830467,0.22097919881343842,0.21250000000000002
3.0,6.0,42.85714340209961,,34.82142893473307,0.0024331496097147465,0.22140690684318542,0.218125
3.0,7.0,42.85714340209961,,35.96938814435686,0.00227601220831275,0.2236020714044571,0.22375
3.0,8.0,42.85714340209961,37.900001525878906,36.83035755157471,0.004015575163066387,0.2197159379720688,0.229375
4.0,1.0,50.0,,50.0,0.002046427223831415,0.21262073516845703,0.23500000000000001
4.0,2.0,37.5,,43.75,0.005403661169111729,0.2130911648273468,0.240625
4.0,3.0,62.5,,50.0,0.0029721339233219624,0.2137157917022705,0.24625000000000002
4.0,4.0,12.5,,40.625,0.007271949201822281,0.22337999939918518,0.251875
4.0,5.0,28.571430206298828,,38.21428604125977,0.004805149510502815,0.2140953093767166,0.2575
4.0,6.0,57.142860412597656,,41.36904843648275,0.0065407161600887775,0.20853641629219055,0.263125
4.0,7.0,42.85714340209961,,41.58163343157087,0.005279207136482,0.20505648851394653,0.26875000000000004
4.0,8.0,28.571430206298828,50.540000915527344,39.955358028411865,0.010464994236826897,0.2023586928844452,0.27437500000000004
5.0,1.0,50.0,,50.0,0.008162040263414383,0.19428513944149017,0.28
5.0,2.0,62.5,,56.25,0.018132485449314117,0.19083508849143982,0.285625
5.0,3.0,37.5,,50.0,0.011436983942985535,0.19181141257286072,0.29125
5.0,4.0,37.5,,46.875,0.007353314198553562,0.20444655418395996,0.296875
5.0,5.0,57.142860412597656,,48.92857208251953,0.009908346459269524,0.19800499081611633,0.3025
5.0,6.0,71.42857360839844,,52.67857233683268,0.016085313633084297,0.1910206526517868,0.308125
5.0,7.0,57.142860412597656,,53.31632777622768,0.04366512969136238,0.17753596603870392,0.31375
5.0,8.0,71.42857360839844,58.97999954223633,55.58035850524902,0.021682877093553543,0.1880357563495636,0.31937499999999996
6.0,1.0,62.5,,62.5,0.02332933247089386,0.18344059586524963,0.325
6.0,2.0,62.5,,62.5,0.019085591658949852,0.17732073366641998,0.330625
6.0,3.0,62.5,,62.5,0.013454041443765163,0.19210612773895264,0.33625000000000005
6.0,4.0,37.5,,56.25,0.030120544135570526,0.18959282338619232,0.34187500000000004
6.0,5.0,100.0,,65.0,0.019342850893735886,0.17412713170051575,0.34750000000000003
6.0,6.0,71.42857360839844,,66.07142893473308,0.01563195139169693,0.18214775621891022,0.353125
