Epoch,Batch,Iteration,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Unsupervised_Loss,Supervised_Loss
1.0,1.0,0.0,25.0,,25.0,0.0009273048490285873,2.303046703338623
1.0,2.0,1.0,0.0,,12.5,0.0008001283858902752,2.3233232498168945
1.0,3.0,2.0,0.0,,8.333333333333334,0.0005199328297749162,2.3030648231506348
1.0,4.0,3.0,12.5,,9.375,0.0003598480252549052,2.3157551288604736
1.0,5.0,4.0,14.285715103149414,,10.357143020629882,0.00026815678575076163,2.294063091278076
1.0,6.0,5.0,14.285715103149414,,11.011905034383139,0.00022692035418003798,2.3018341064453125
1.0,7.0,6.0,14.285715103149414,,11.479592187064034,0.00019037800666410476,2.32016658782959
1.0,8.0,7.0,14.285715103149414,,11.830357551574707,0.00013779249275103211,2.2973506450653076
1.0,8.0,8.0,14.285715103149414,9.399999618530273,12.137277245521545,0.00013779249275103211,2.2973506450653076
2.0,1.0,9.0,0.0,,0.0,0.00010644592111930251,2.303063154220581
2.0,2.0,10.0,12.5,,6.25,8.474194328300655e-05,2.3030200004577637
2.0,3.0,11.0,25.0,,12.5,7.137011562008411e-05,2.2999038696289062
2.0,4.0,12.0,50.0,,21.875,6.899287836859003e-05,2.2961580753326416
2.0,5.0,13.0,14.285715103149414,,20.357143020629884,6.942872278159484e-05,2.3052616119384766
2.0,6.0,14.0,0.0,,16.964285850524902,7.905088568804786e-05,2.315208911895752
2.0,7.0,15.0,14.285715103149414,,16.58163288661412,6.816005770815536e-05,2.3013908863067627
2.0,8.0,16.0,0.0,,14.508928775787355,6.358282553264871e-05,2.3029582500457764
2.0,8.0,17.0,0.0,9.399999618530273,12.695312678813936,6.358282553264871e-05,2.3029582500457764
3.0,1.0,18.0,25.0,,25.0,7.04244666849263e-05,2.2976303100585938
3.0,2.0,19.0,37.5,,31.25,6.624474190175533e-05,2.3069517612457275
3.0,3.0,20.0,25.0,,29.166666666666668,6.738713273080066e-05,2.310579538345337
3.0,4.0,21.0,12.5,,25.0,6.460153963416815e-05,2.307532787322998
3.0,5.0,22.0,0.0,,20.0,6.339859828585759e-05,2.292381763458252
3.0,6.0,23.0,42.85714340209961,,23.809523900349934,6.752869376214221e-05,2.294806957244873
3.0,7.0,24.0,0.0,,20.40816334315709,6.971577386138961e-05,2.30169415473938
3.0,8.0,25.0,14.285715103149414,,19.642857313156128,6.556528387591243e-05,2.315997362136841
3.0,8.0,26.0,14.285715103149414,12.300000190734863,18.97321453690529,6.556528387591243e-05,2.315997362136841
4.0,1.0,27.0,0.0,,0.0,7.23730045137927e-05,2.2884278297424316
4.0,2.0,28.0,25.0,,12.5,7.194065256044269e-05,2.3045787811279297
4.0,3.0,29.0,12.5,,12.5,6.9898807851132e-05,2.3093478679656982
4.0,4.0,30.0,12.5,,12.5,6.859226414235309e-05,2.3016796112060547
4.0,5.0,31.0,42.85714340209961,,18.57142868041992,7.207001181086525e-05,2.2910385131835938
4.0,6.0,32.0,14.285715103149414,,17.85714308420817,6.156605377327651e-05,2.3184120655059814
4.0,7.0,33.0,14.285715103149414,,17.346939086914062,6.189613486640155e-05,2.2900359630584717
4.0,8.0,34.0,0.0,,15.178571701049805,5.6490691349608824e-05,2.2997171878814697
4.0,8.0,35.0,0.0,12.600000381469727,13.281250238418579,5.6490691349608824e-05,2.2997171878814697
5.0,1.0,36.0,12.5,,12.5,5.6690496421651915e-05,2.3152236938476562
5.0,2.0,37.0,12.5,,12.5,5.595683251158334e-05,2.3004965782165527
5.0,3.0,38.0,12.5,,12.5,5.2614734158851206e-05,2.300142765045166
5.0,4.0,39.0,0.0,,9.375,5.309238622430712e-05,2.3012239933013916
5.0,5.0,40.0,42.85714340209961,,16.07142868041992,5.763037916040048e-05,2.2819371223449707
5.0,6.0,41.0,14.285715103149414,,15.773809750874838,5.690913894795813e-05,2.2913804054260254
5.0,7.0,42.0,0.0,,13.520408357892718,6.420949648600072e-05,2.2968430519104004
5.0,8.0,43.0,14.285715103149414,,13.616071701049805,6.747811130480841e-05,2.2928707599639893
5.0,8.0,44.0,14.285715103149414,12.600000381469727,13.699777126312256,6.747811130480841e-05,2.2928707599639893
6.0,1.0,45.0,25.0,,25.0,7.25592253729701e-05,2.299221992492676
6.0,2.0,46.0,12.5,,18.75,7.407533848891035e-05,2.2891697883605957
6.0,3.0,47.0,25.0,,20.833333333333332,8.856445492710918e-05,2.2877891063690186
