Epoch,Batch,Iteration,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Unsupervised_Loss,Supervised_Loss
1.0,1.0,0.0,25.0,,25.0,0.00032616598764434457,2.291718006134033
1.0,2.0,1.0,18.75,,21.875,0.00020657703862525523,2.298680305480957
1.0,3.0,2.0,12.5,,18.75,0.00023693856201134622,2.3256657123565674
1.0,4.0,3.0,25.0,,20.3125,0.00013988012506160885,2.26611328125
1.0,5.0,4.0,12.5,,18.75,0.00012772445916198194,2.3187036514282227
1.0,6.0,5.0,15.625,,18.229166666666668,0.00011754514707718045,2.274986505508423
1.0,7.0,6.0,12.5,,17.410714285714285,7.933439337648451e-05,2.306511878967285
1.0,8.0,7.0,9.375,,16.40625,4.6651079173898324e-05,2.3102569580078125
1.0,9.0,8.0,6.25,,15.277777777777779,3.874426329275593e-05,2.298724412918091
1.0,10.0,9.0,18.75,,15.625,3.189489507349208e-05,2.3118996620178223
1.0,11.0,10.0,6.25,,14.772727272727273,1.998979496420361e-05,2.3087449073791504
1.0,12.0,11.0,3.125,,13.802083333333334,1.43663401104277e-05,2.3201522827148438
1.0,13.0,12.0,21.875,,14.423076923076923,7.96833774074912e-06,2.2841224670410156
1.0,14.0,13.0,12.5,,14.285714285714286,6.070863491913769e-06,2.3010172843933105
1.0,15.0,14.0,3.125,,13.541666666666666,4.888102012046147e-06,2.296598434448242
1.0,16.0,15.0,9.375,,13.28125,5.945382326899562e-06,2.29984712600708
1.0,17.0,16.0,12.5,,13.235294117647058,5.681872607965488e-06,2.300356864929199
1.0,18.0,17.0,9.375,,13.020833333333334,6.870373908895999e-06,2.3100852966308594
1.0,19.0,18.0,9.375,,12.828947368421053,5.987489657854894e-06,2.297316074371338
1.0,20.0,19.0,18.75,,13.125,6.022836259944597e-06,2.2783098220825195
1.0,21.0,20.0,18.75,,13.392857142857142,6.515009772556368e-06,2.2770934104919434
1.0,22.0,21.0,6.25,,13.068181818181818,1.633130341360811e-05,2.314948081970215
1.0,23.0,22.0,6.25,,12.771739130434783,1.5732395695522428e-05,2.291963577270508
1.0,24.0,23.0,12.5,,12.760416666666666,1.850775515777059e-05,2.291163921356201
1.0,25.0,24.0,6.25,,12.5,3.048775215575006e-05,2.3192412853240967
1.0,26.0,25.0,12.5,,12.5,1.7389189451932907e-05,2.276865243911743
1.0,27.0,26.0,9.375,,12.38425925925926,3.080776514252648e-05,2.3015918731689453
1.0,28.0,27.0,18.75,,12.611607142857142,1.6529791537323035e-05,2.2929418087005615
1.0,29.0,28.0,12.5,,12.607758620689655,1.050260652846191e-05,2.2847414016723633
1.0,30.0,29.0,12.5,,12.604166666666666,7.721697329543531e-06,2.2846426963806152
1.0,31.0,30.0,21.875,,12.903225806451612,1.6278487237286754e-05,2.2851827144622803
1.0,32.0,31.0,15.625,,12.98828125,3.1326268072007224e-05,2.248473644256592
1.0,33.0,32.0,3.125,,12.68939393939394,8.74490724527277e-05,2.333418369293213
1.0,34.0,33.0,12.5,,12.683823529411764,6.864860188215971e-05,2.2131054401397705
1.0,35.0,34.0,15.625,,12.767857142857142,6.724333798047155e-05,2.263185977935791
1.0,36.0,35.0,12.5,,12.760416666666666,9.578921890351921e-05,2.1881766319274902
1.0,37.0,36.0,12.5,,12.753378378378379,6.558552558999509e-05,2.2311959266662598
1.0,38.0,37.0,12.5,,12.74671052631579,7.111912418622524e-05,2.2442517280578613
1.0,39.0,38.0,12.5,,12.740384615384615,0.00013314717216417193,2.2490367889404297
1.0,40.0,39.0,25.0,,13.046875,8.829408034216613e-05,2.1465585231781006
1.0,41.0,40.0,15.625,,13.109756097560975,0.00014331463898997754,2.2362287044525146
1.0,42.0,41.0,6.25,,12.946428571428571,0.00021287969138938934,2.168548107147217
1.0,43.0,42.0,9.375,,12.863372093023257,0.0003149277181364596,2.1999268531799316
1.0,44.0,43.0,15.625,,12.926136363636363,0.0009113919804804027,2.261887788772583
1.0,45.0,44.0,37.5,,13.472222222222221,0.0003077963483519852,2.048800468444824
1.0,46.0,45.0,9.375,,13.383152173913043,0.00015113693370949477,2.204768180847168
1.0,47.0,46.0,31.25,,13.763297872340425,0.0003023248282261193,2.190859794616699
1.0,48.0,47.0,18.75,,13.8671875,0.00021013771765865386,2.224938154220581
1.0,49.0,48.0,18.75,,13.966836734693878,0.0005272964481264353,2.180159091949463
1.0,50.0,49.0,21.875,,14.125,0.0005159243009984493,2.1850380897521973
1.0,51.0,50.0,15.625,,14.154411764705882,0.0005933257634751499,2.248095750808716
1.0,52.0,51.0,18.75,,14.242788461538462,0.0002129822241840884,2.1519596576690674
1.0,53.0,52.0,15.625,,14.268867924528301,0.00018099283624906093,2.247325897216797
1.0,54.0,53.0,25.0,,14.467592592592593,0.00017068035958800465,2.2190399169921875
1.0,55.0,54.0,15.625,,14.488636363636363,0.00015883012383710593,2.125058174133301
1.0,56.0,55.0,6.25,,14.341517857142858,0.0002623384352773428,2.2688565254211426
1.0,57.0,56.0,15.625,,14.364035087719298,0.0003148186078760773,2.253422737121582
1.0,58.0,57.0,21.875,,14.493534482758621,0.0001939992798725143,2.157418727874756
1.0,59.0,58.0,12.5,,14.459745762711865,0.00019756235997192562,2.1019091606140137
1.0,60.0,59.0,25.0,,14.635416666666666,0.00016941828653216362,2.1877431869506836
1.0,61.0,60.0,12.5,,14.600409836065573,0.00020207832858432084,2.1530439853668213
1.0,62.0,61.0,18.75,,14.66733870967742,0.00014876639761496335,2.265160083770752
1.0,63.0,62.0,18.75,,14.732142857142858,0.00035699293948709965,2.155397653579712
1.0,64.0,63.0,18.75,,14.794921875,0.00029247524798847735,2.131593704223633
1.0,65.0,64.0,25.0,,14.951923076923077,0.00022701584384776652,2.2125906944274902
1.0,66.0,65.0,28.125,,15.151515151515152,0.00025685536093078554,2.095489025115967
1.0,67.0,66.0,34.375,,15.438432835820896,0.00032648100750520825,2.1552376747131348
1.0,68.0,67.0,15.625,,15.441176470588236,0.0003284688573330641,2.1356184482574463
1.0,69.0,68.0,9.375,,15.353260869565217,0.0002683627826627344,2.128751516342163
1.0,70.0,69.0,31.25,,15.580357142857142,0.0005639909068122506,2.134596347808838
1.0,71.0,70.0,31.25,,15.80105633802817,0.00026485268608666956,2.158967971801758
1.0,72.0,71.0,31.25,,16.015625,0.0003899252915289253,2.0113909244537354
1.0,73.0,72.0,25.0,,16.138698630136986,0.00041275378316640854,2.077047348022461
1.0,74.0,73.0,28.125,,16.300675675675677,0.0006433193339034915,1.9926495552062988
1.0,75.0,74.0,28.125,,16.458333333333332,0.0009376147645525634,2.1139345169067383
1.0,76.0,75.0,25.0,,16.570723684210527,0.0005483023123815656,2.097505569458008
1.0,77.0,76.0,28.125,,16.72077922077922,0.0007445271476171911,2.0968708992004395
1.0,78.0,77.0,37.5,,16.987179487179485,0.000593056611251086,2.045273542404175
1.0,79.0,78.0,21.875,,17.04905063291139,0.00045841682003811,2.0896458625793457
1.0,80.0,79.0,28.125,,17.187499999999996,0.0008156067924574018,2.094834089279175
1.0,81.0,80.0,31.25,,17.361111111111107,0.000739823211915791,2.105274200439453
1.0,82.0,81.0,31.25,,17.530487804878046,0.0006453947280533612,1.9854170083999634
1.0,83.0,82.0,28.125,,17.65813253012048,0.0004256223910488188,2.0084991455078125
1.0,84.0,83.0,18.75,,17.67113095238095,0.00040646790876053274,2.1324501037597656
1.0,85.0,84.0,9.375,,17.573529411764703,0.0004679585399571806,2.2897439002990723
1.0,86.0,85.0,34.375,,17.768895348837205,0.00034601669176481664,2.1078085899353027
1.0,87.0,86.0,18.75,,17.7801724137931,0.00037414144026115537,2.1496827602386475
1.0,88.0,87.0,21.875,,17.826704545454543,0.0003506202483549714,2.158034324645996
1.0,89.0,88.0,34.375,,18.012640449438198,0.00023473307373933494,1.9955511093139648
1.0,90.0,89.0,25.0,,18.09027777777777,0.00024111525272019207,2.1096839904785156
1.0,91.0,90.0,9.375,,17.99450549450549,0.0003013335226569325,2.136152744293213
1.0,92.0,91.0,15.625,,17.968749999999996,0.000197070388821885,2.176975727081299
1.0,93.0,92.0,18.75,,17.977150537634405,0.00032370927510783076,2.051900863647461
1.0,94.0,93.0,15.625,,17.95212765957446,0.00045428541488945484,2.0829594135284424
1.0,95.0,94.0,21.875,,17.99342105263157,0.0005895918002352118,2.1845896244049072
1.0,96.0,95.0,31.25,,18.13151041666666,0.000658927543554455,2.0732996463775635
