Epoch,Batch,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Divergence_Loss,Supervised_Loss,TSA_Limit
1.0,1.0,12.5,,12.5,0.22749586403369904,,1.0
1.0,2.0,0.0,,6.25,0.2311701774597168,,1.0
1.0,3.0,25.0,,12.5,0.2260882556438446,,1.0
1.0,4.0,25.0,,15.625,0.22569632530212402,,1.0
1.0,5.0,0.0,,12.5,0.24186475574970245,,1.0
1.0,6.0,28.571430206298828,,15.178571701049805,0.22839650511741638,,1.0
1.0,7.0,28.571430206298828,,17.091837201799667,0.2373986691236496,,1.0
1.0,8.0,42.85714340209961,31.009998321533203,20.312500476837158,0.21553464233875275,,1.0
2.0,1.0,37.5,,37.5,0.21159258484840393,,1.0
2.0,2.0,25.0,,31.25,0.2178182601928711,,1.0
2.0,3.0,25.0,,29.166666666666668,0.20610184967517853,,1.0
2.0,4.0,12.5,,25.0,0.22327820956707,,1.0
2.0,5.0,14.285715103149414,,22.857143020629884,0.22363249957561493,,1.0
2.0,6.0,42.85714340209961,,26.190476417541504,0.20940358936786652,,1.0
2.0,7.0,28.571430206298828,,26.530612673078263,0.21931996941566467,,1.0
2.0,8.0,14.285715103149414,26.51999855041504,25.000000476837158,0.20648932456970215,,1.0
3.0,1.0,37.5,,37.5,0.19780299067497253,,1.0
3.0,2.0,25.0,,31.25,0.20911619067192078,,1.0
3.0,3.0,37.5,,33.333333333333336,0.17861883342266083,,1.0
3.0,4.0,25.0,,31.25,0.2232663929462433,,1.0
3.0,5.0,0.0,,25.0,0.21751834452152252,,1.0
3.0,6.0,71.42857360839844,,32.73809560139974,0.17947298288345337,,1.0
3.0,7.0,14.285715103149414,,30.102041244506836,0.1703338474035263,,1.0
3.0,8.0,57.142860412597656,46.7599983215332,33.48214364051819,0.1624644547700882,,1.0
4.0,1.0,37.5,,37.5,0.1952737271785736,,1.0
4.0,2.0,50.0,,43.75,0.15610840916633606,,1.0
4.0,3.0,62.5,,50.0,0.14191767573356628,,1.0
4.0,4.0,50.0,,50.0,0.16748234629631042,,1.0
4.0,5.0,57.142860412597656,,51.42857208251953,0.18994413316249847,,1.0
4.0,6.0,57.142860412597656,,52.38095347086588,0.13208678364753723,,1.0
4.0,7.0,71.42857360839844,,55.102042061941965,0.10093670338392258,,1.0
4.0,8.0,28.571430206298828,58.56999588012695,51.78571557998657,0.15451596677303314,,1.0
5.0,1.0,62.5,,62.5,0.1286405324935913,,1.0
5.0,2.0,75.0,,68.75,0.10414588451385498,,1.0
5.0,3.0,87.5,,75.0,0.08367328345775604,,1.0
5.0,4.0,25.0,,62.5,0.22381477057933807,,1.0
5.0,5.0,42.85714340209961,,58.57142868041992,0.1674329936504364,,1.0
5.0,6.0,71.42857360839844,,60.71428616841634,0.07992162555456161,,1.0
5.0,7.0,85.71428680419922,,64.28571483067104,0.06715196371078491,,1.0
5.0,8.0,85.71428680419922,68.33999633789062,66.96428632736206,0.039412785321474075,,1.0
6.0,1.0,75.0,,75.0,0.10447750240564346,,1.0
6.0,2.0,100.0,,87.5,0.04861793667078018,,1.0
6.0,3.0,87.5,,87.5,0.07187916338443756,,1.0
6.0,4.0,75.0,,84.375,0.08441255986690521,,1.0
6.0,5.0,85.71428680419922,,84.64285736083984,0.05722859129309654,,1.0
6.0,6.0,71.42857360839844,,82.44047673543294,0.047331470996141434,,1.0
6.0,7.0,100.0,,84.94898005894252,0.05381578207015991,,1.0
6.0,8.0,85.71428680419922,72.8499984741211,85.04464340209961,0.045790690928697586,,1.0
7.0,1.0,75.0,,75.0,0.05073904991149902,,1.0
7.0,2.0,87.5,,81.25,0.03174924850463867,,1.0
7.0,3.0,87.5,,83.33333333333333,0.023903734982013702,,1.0
7.0,4.0,75.0,,81.25,0.10139353573322296,,1.0
7.0,5.0,71.42857360839844,,79.28571472167968,0.05942019075155258,,1.0
7.0,6.0,85.71428680419922,,80.35714340209961,0.057819586247205734,,1.0
7.0,7.0,57.142860412597656,,77.04081726074219,0.06733376532793045,,1.0
7.0,8.0,85.71428680419922,73.07999420166016,78.12500095367432,0.050524089485406876,,1.0
8.0,1.0,87.5,,87.5,0.021909063681960106,,1.0
8.0,2.0,100.0,,93.75,0.009517030790448189,,1.0
8.0,3.0,75.0,,87.5,0.04932301118969917,,1.0
8.0,4.0,87.5,,87.5,0.03520103543996811,,1.0
8.0,5.0,100.0,,90.0,0.006533525884151459,,1.0
8.0,6.0,100.0,,91.66666666666667,0.014621352776885033,,1.0
8.0,7.0,85.71428680419922,,90.81632668631417,0.03235647827386856,,1.0
8.0,8.0,85.71428680419922,75.18000030517578,90.1785717010498,0.025961389765143394,,1.0
9.0,1.0,87.5,,87.5,0.02141590043902397,,1.0
9.0,2.0,100.0,,93.75,0.010389246977865696,,1.0
9.0,3.0,87.5,,91.66666666666667,0.024814313277602196,,1.0
9.0,4.0,62.5,,84.375,0.06243140622973442,,1.0
9.0,5.0,100.0,,87.5,0.01740032061934471,,1.0
9.0,6.0,85.71428680419922,,87.2023811340332,0.02761404775083065,,1.0
9.0,7.0,100.0,,89.03061240059989,0.0027200060430914164,,1.0
9.0,8.0,100.0,76.45000457763672,90.4017858505249,0.006767217069864273,,1.0
10.0,1.0,100.0,,100.0,0.01047024317085743,,1.0
10.0,2.0,87.5,,93.75,0.02129334956407547,,1.0
10.0,3.0,87.5,,91.66666666666667,0.021793590858578682,,1.0
10.0,4.0,62.5,,84.375,0.21432264149188995,,1.0
10.0,5.0,85.71428680419922,,84.64285736083984,0.01641564629971981,,1.0
10.0,6.0,85.71428680419922,,84.82142893473308,0.016076575964689255,,1.0
10.0,7.0,85.71428680419922,,84.94898005894252,0.021587979048490524,,1.0
10.0,8.0,100.0,77.51000213623047,86.8303575515747,0.015608604997396469,,1.0
11.0,1.0,87.5,,87.5,0.014082682318985462,,1.0
11.0,2.0,100.0,,93.75,0.01309145800769329,,1.0
11.0,3.0,100.0,,95.83333333333333,0.006686549633741379,,1.0
11.0,4.0,100.0,,96.875,0.010728815570473671,,1.0
11.0,5.0,85.71428680419922,,94.64285736083984,0.03515743836760521,,1.0
11.0,6.0,100.0,,95.53571446736653,0.0020592419896274805,,1.0
