Epoch,Batch,Iteration,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Unsupervised_Loss,Supervised_Loss
1.0,1.0,0.0,0.0,,0.0,0.0009564122301526368,2.3136661052703857
1.0,2.0,1.0,12.5,,6.25,0.0005573888192884624,2.311231851577759
1.0,3.0,2.0,12.5,,8.333333333333334,0.00034237868385389447,2.304405927658081
1.0,4.0,3.0,12.5,,9.375,0.0002980214194394648,2.3060495853424072
1.0,5.0,4.0,0.0,,7.5,0.0002748766273725778,2.3105409145355225
1.0,6.0,5.0,14.285715103149414,,8.630952517191568,0.00023915991187095642,2.308434009552002
1.0,7.0,6.0,14.285715103149414,,9.438775743756976,0.0002242700575152412,2.2935707569122314
1.0,8.0,7.0,14.285715103149414,,10.04464316368103,0.00022202794207260013,2.3170340061187744
1.0,8.0,8.0,14.285715103149414,10.699999809265137,10.574777156114578,0.00022202794207260013,2.3170340061187744
2.0,1.0,9.0,0.0,,0.0,0.00019930044072680175,2.3061115741729736
2.0,2.0,10.0,37.5,,18.75,0.00016295192472171038,2.2930707931518555
2.0,3.0,11.0,12.5,,16.666666666666668,0.00015618935867678374,2.3023242950439453
2.0,4.0,12.0,0.0,,12.5,0.00013575826596934348,2.2965121269226074
2.0,5.0,13.0,0.0,,10.0,0.0001325838966295123,2.301424264907837
2.0,6.0,14.0,14.285715103149414,,10.714285850524902,0.00012295939086470753,2.2940070629119873
2.0,7.0,15.0,42.85714340209961,,15.306122643607003,0.00011900267418241128,2.2913339138031006
2.0,8.0,16.0,0.0,,13.392857313156128,0.00012311979662626982,2.3056204319000244
2.0,8.0,17.0,0.0,10.699999809265137,11.718750149011612,0.00012311979662626982,2.3056204319000244
3.0,1.0,18.0,25.0,,25.0,0.0001350280799670145,2.2956314086914062
3.0,2.0,19.0,0.0,,12.5,0.00013856029545422643,2.317655563354492
3.0,3.0,20.0,12.5,,12.5,0.0001270916109206155,2.291515588760376
3.0,4.0,21.0,25.0,,15.625,0.00014418236969504505,2.28668475151062
3.0,5.0,22.0,0.0,,12.5,0.00014610495418310165,2.3209598064422607
3.0,6.0,23.0,14.285715103149414,,12.797619183858236,0.00014302393537946045,2.2842602729797363
3.0,7.0,24.0,28.571430206298828,,15.051020758492607,0.00013927253894507885,2.2836711406707764
3.0,8.0,25.0,0.0,,13.16964316368103,0.000139622890856117,2.2896673679351807
3.0,8.0,26.0,0.0,10.699999809265137,11.523437768220901,0.000139622890856117,2.2896673679351807
4.0,1.0,27.0,25.0,,25.0,0.0001654262450756505,2.299595355987549
4.0,2.0,28.0,0.0,,12.5,0.0001932683662744239,2.2970504760742188
4.0,3.0,29.0,12.5,,12.5,0.0002168762730434537,2.2908167839050293
4.0,4.0,30.0,25.0,,15.625,0.00024222397769335657,2.2846038341522217
4.0,5.0,31.0,14.285715103149414,,15.357143020629882,0.0002687844098545611,2.2704696655273438
4.0,6.0,32.0,14.285715103149414,,15.178571701049805,0.00035603385185822845,2.303802967071533
