Epoch,Batch,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Divergence_Loss,Supervised_Loss,TSA_Limit
1.0,1.0,0.0,,0.0,0.0018651529680937529,0.23651449382305145,0.10606415229917693
1.0,2.0,25.0,,12.5,0.0024595619179308414,0.23231962323188782,0.10625664915674632
1.0,3.0,25.0,,16.666666666666668,0.0020821751095354557,0.24532587826251984,0.10645525652050783
1.0,4.0,0.0,,12.5,0.0010424599749967456,0.23239244520664215,0.10666016835874956
1.0,5.0,14.285715103149414,,12.857143020629882,0.0006669810391031206,0.23152145743370056,0.10687158479697398
1.0,6.0,0.0,,10.714285850524902,0.00043016375275328755,0.2304547131061554,0.10708971231334896
1.0,7.0,28.571430206298828,,13.26530647277832,0.0004016222956124693,0.2292746901512146,0.10731476394036299
1.0,8.0,19.15999984741211,,13.392857551574707,0.0004060508217662573,0.22982460260391235,0.10754695947288168
2.0,1.0,12.5,,12.5,0.0004960015648975968,0.22936676442623138,0.10778652568280858
2.0,2.0,0.0,,6.25,0.0004604293208103627,0.23120951652526855,0.10803369654056019
2.0,3.0,12.5,,8.333333333333334,0.00045082115684635937,0.22804443538188934,0.10828871344357133
2.0,4.0,25.0,,12.5,0.00043547237874008715,0.22881659865379333,0.10855182545205391
2.0,5.0,14.285715103149414,,12.857143020629882,0.0005053163040429354,0.23018336296081543,0.10882328953223964
2.0,6.0,14.285715103149414,,13.09523836771647,0.0005255516734905541,0.22718824446201324,0.1091033708073441
2.0,7.0,42.85714340209961,,17.346939086914062,0.0005406361306086183,0.22627145051956177,0.10939234281649705
2.0,8.0,22.68000030517578,,18.750000476837158,0.0005802983650937676,0.22823353111743927,0.1096904877818924
3.0,1.0,25.0,,25.0,0.0006901832530274987,0.23097679018974304,0.10999809688441808
3.0,2.0,25.0,,25.0,0.000664485793095082,0.22821740806102753,0.11031547054803567
3.0,3.0,12.5,,20.833333333333332,0.0006570459227077663,0.22786778211593628,0.11064291873318696
3.0,4.0,12.5,,18.75,0.0006240344955585897,0.22939518094062805,0.11098076123951435
3.0,5.0,14.285715103149414,,17.857143020629884,0.0006815411616116762,0.2300225794315338,0.11132932801819061
3.0,6.0,57.142860412597656,,24.404762585957844,0.0004830535617657006,0.2255726307630539,0.11168895949416303
3.0,7.0,28.571430206298828,,25.00000081743513,0.0005550913047045469,0.22843223810195923,0.11206000689862675
3.0,8.0,33.72999954223633,,29.017858266830444,0.0005860451492480934,0.2239927053451538,0.11244283261205185
4.0,1.0,37.5,,37.5,0.0006518355803564191,0.22705860435962677,0.11283781051809934
4.0,2.0,25.0,,31.25,0.0007811726536601782,0.2257678210735321,0.11324532636877163
4.0,3.0,62.5,,41.666666666666664,0.0009020837023854256,0.2224743813276291,0.11366577816115415
4.0,4.0,50.0,,43.75,0.001011147745884955,0.22894157469272614,0.114099576526116
4.0,5.0,28.571430206298828,,40.71428604125977,0.0011977258836850524,0.22485923767089844,0.1145471451293493
4.0,6.0,71.42857360839844,,45.83333396911621,0.001216880395077169,0.22710934281349182,0.11500892108513881
4.0,7.0,28.571430206298828,,43.367347717285156,0.0012224983656778932,0.22564828395843506,0.11548535538326625
4.0,8.0,61.38999938964844,,39.73214364051819,0.00146044313441962,0.22176200151443481,0.11597691332946569
5.0,1.0,62.5,,62.5,0.0016079009510576725,0.22738082706928253,0.11648407499986077
5.0,2.0,37.5,,50.0,0.0017767620738595724,0.21718831360340118,0.11700733570982712
5.0,3.0,50.0,,50.0,0.00215572165325284,0.2228655368089676,0.1175472064977382
5.0,4.0,25.0,,43.75,0.002567436546087265,0.2241934984922409,0.11810421462406681
5.0,5.0,85.71428680419922,,52.14285736083984,0.0029444806277751923,0.21531812846660614,0.11867890408632978
5.0,6.0,71.42857360839844,,55.35714340209961,0.003235440468415618,0.2309955656528473,0.1192718361503788
5.0,7.0,85.71428680419922,,59.693878173828125,0.0030851042829453945,0.22320656478405,0.1198835898985562
5.0,8.0,50.62000274658203,,59.375000953674316,0.003605649806559086,0.2259705513715744,0.12051476279525111
6.0,1.0,62.5,,62.5,0.0041696070693433285,0.22215133905410767,0.12116597127040821
6.0,2.0,62.5,,62.5,0.003656168235465884,0.218184694647789,0.12183785132155907
6.0,3.0,62.5,,62.5,0.004172870889306068,0.22296738624572754,0.12253105913496413
6.0,4.0,50.0,,59.375,0.00467799324542284,0.21599127352237701,0.12324627172647168
6.0,5.0,57.142860412597656,,58.92857208251953,0.004071926232427359,0.2199731469154358,0.12398418760271994
6.0,6.0,42.85714340209961,,56.250000635782875,0.004320724401623011,0.21885719895362854,0.12474552744332801
6.0,7.0,57.142860412597656,,56.3775520324707,0.004203240852802992,0.21702632308006287,0.1255310348047418
6.0,8.0,61.61000061035156,,58.25892972946167,0.00400182930752635,0.21249553561210632,0.1263414768464225
7.0,1.0,62.5,,62.5,0.004876099992543459,0.2124132513999939,0.12717764508008667
7.0,2.0,50.0,,56.25,0.004997436888515949,0.21891014277935028,0.12804035614272982
7.0,3.0,62.5,,58.333333333333336,0.005406234413385391,0.2129317820072174,0.12893045259418848
7.0,4.0,50.0,,56.25,0.00599275715649128,0.2168438583612442,0.12984880374001928
7.0,5.0,71.42857360839844,,59.28571472167969,0.00532923499122262,0.20849765837192535,0.13079630648049945
7.0,6.0,71.42857360839844,,61.30952453613281,0.005749270785599947,0.2189706563949585,0.1317738861865772
7.0,7.0,57.142860412597656,,60.71428680419922,0.007026697974652052,0.21571849286556244,0.1327824976036278
7.0,8.0,59.3599967956543,,60.26785850524902,0.0076521290466189384,0.2126733511686325,0.13382312578389813
8.0,1.0,75.0,,75.0,0.009038846008479595,0.215071439743042,0.13489678704854982
8.0,2.0,62.5,,68.75,0.007596804294735193,0.21505078673362732,0.13600452998024135
8.0,3.0,75.0,,70.83333333333333,0.00778281269595027,0.21415230631828308,0.1371474364472178
8.0,4.0,37.5,,62.5,0.006763819605112076,0.21331164240837097,0.13832662265990886
8.0,5.0,71.42857360839844,,64.28571472167968,0.0064569865353405476,0.20659419894218445,0.13954324026106668
8.0,6.0,85.71428680419922,,67.85714340209961,0.005560228601098061,0.20161840319633484,0.14079847745050864
8.0,7.0,71.42857360839844,,68.36734771728516,0.0068472595885396,0.21881189942359924,0.1420935601455631
8.0,8.0,65.30999755859375,,65.17857217788696,0.006584861781448126,0.20581349730491638,0.1434297531783517
9.0,1.0,50.0,,50.0,0.007061221171170473,0.20955772697925568,0.14480836153107757
9.0,2.0,87.5,,68.75,0.007555144838988781,0.1931152641773224,0.14623073161052566
9.0,3.0,87.5,,75.0,0.008054908365011215,0.1978597342967987,0.14769825256302022
9.0,4.0,37.5,,65.625,0.009454242885112762,0.2051362693309784,0.14921235763112328
9.0,5.0,71.42857360839844,,66.78571472167968,0.011197702959179878,0.20172612369060516,0.15077452555339962
9.0,6.0,100.0,,72.32142893473308,0.0126839280128479,0.19925257563591003,0.1523862820086148
9.0,7.0,71.42857360839844,,72.19387817382812,0.012883925810456276,0.20548567175865173,0.15404920110577716
9.0,8.0,67.25,,75.66964340209961,0.012789720669388771,,0.1557649069214788
10.0,1.0,75.0,,75.0,0.01258253026753664,0.21185889840126038,0.1575350750860368
10.0,2.0,75.0,,75.0,0.01264544390141964,0.20489618182182312,0.15936143441998435
10.0,3.0,87.5,,79.16666666666667,0.00999320950359106,0.19278639554977417,0.16124576862250917
10.0,4.0,62.5,,75.0,0.01015904825180769,0.1989307552576065,0.16318991801348925
10.0,5.0,85.71428680419922,,77.14285736083984,0.010874949395656586,0.19320973753929138,0.16519578133082632
10.0,6.0,100.0,,80.9523811340332,0.00924050435423851,0.19456735253334045,0.16726531758483315
10.0,7.0,71.42857360839844,,79.59183720179966,0.012555527500808239,0.19393615424633026,0.16940054797148504
10.0,8.0,66.38999938964844,,80.35714340209961,0.011530301533639431,0.19835226237773895,0.1716035578464049
11.0,1.0,75.0,,75.0,0.01547771692276001,0.1910395473241806,0.17387649876150893
11.0,2.0,100.0,,87.5,0.016071725636720657,0.17719867825508118,0.17622159056630246
11.0,3.0,100.0,,91.66666666666667,0.016344234347343445,0.1761186420917511,0.17864112357587836
11.0,4.0,62.5,,84.375,0.017302080988883972,0.1847679316997528,0.18113746080773474
