Epoch,Batch,Iteration,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Unsupervised_Loss,Supervised_Loss
1.0,1.0,0.0,12.5,,12.5,0.0016366555355489254,2.301455020904541
1.0,2.0,1.0,12.5,,12.5,0.002539699664339423,2.3051722049713135
1.0,3.0,2.0,15.625,,13.541666666666666,0.0031981251668184996,2.3202929496765137
1.0,4.0,3.0,6.25,,11.71875,0.0024157497100532055,2.3253235816955566
1.0,5.0,4.0,15.625,,12.5,0.0015535082202404737,2.302234172821045
1.0,6.0,5.0,15.625,,13.020833333333334,0.0011204688344150782,2.290666103363037
1.0,7.0,6.0,9.375,,12.5,0.0010274703381583095,2.3056206703186035
1.0,8.0,7.0,9.375,,12.109375,0.0009524124325253069,2.312927484512329
1.0,9.0,8.0,3.125,,11.11111111111111,0.0007833785493858159,2.3101425170898438
1.0,10.0,9.0,12.5,,11.25,0.0006238793721422553,2.2990665435791016
1.0,11.0,10.0,12.5,,11.363636363636363,0.0004944298416376114,2.2947583198547363
1.0,12.0,11.0,12.5,,11.458333333333334,0.00047738829744048417,2.296405792236328
1.0,13.0,12.0,18.75,,12.01923076923077,0.0005225585773587227,2.2994489669799805
1.0,14.0,13.0,9.375,,11.830357142857142,0.0006211698637343943,2.3077473640441895
1.0,15.0,14.0,9.375,,11.666666666666666,0.0006184891681186855,2.298764705657959
1.0,16.0,15.0,6.25,,11.328125,0.0006288960576057434,2.300428867340088
1.0,17.0,16.0,9.375,,11.213235294117647,0.0005991769721731544,2.297797679901123
1.0,18.0,17.0,9.375,,11.11111111111111,0.0006130433175712824,2.289071798324585
1.0,19.0,18.0,6.25,,10.855263157894736,0.0007860488258302212,2.2931251525878906
1.0,20.0,19.0,15.625,,11.09375,0.0009593187132850289,2.284475326538086
1.0,21.0,20.0,21.875,,11.607142857142858,0.001267812680453062,2.2748427391052246
1.0,22.0,21.0,6.25,,11.363636363636363,0.0023914999328553677,2.333083152770996
1.0,23.0,22.0,12.5,,11.41304347826087,0.002598872873932123,2.294296979904175
1.0,24.0,23.0,18.75,,11.71875,0.0023545296862721443,2.2643842697143555
1.0,25.0,24.0,3.125,,11.375,0.003120524575933814,2.3171541690826416
1.0,26.0,25.0,6.25,,11.177884615384615,0.0030883154831826687,2.32017183303833
1.0,27.0,26.0,9.375,,11.11111111111111,0.0020675419364124537,2.29054856300354
1.0,28.0,27.0,21.875,,11.495535714285714,0.001345455413684249,2.2831358909606934
1.0,29.0,28.0,15.625,,11.637931034482758,0.0009806440211832523,2.2808165550231934
1.0,30.0,29.0,12.5,,11.666666666666666,0.001107493182644248,2.2902698516845703
1.0,31.0,30.0,18.75,,11.89516129032258,0.0011516113299876451,2.2614669799804688
1.0,32.0,31.0,6.25,,11.71875,0.0020306650549173355,2.308478832244873
1.0,33.0,32.0,12.5,,11.742424242424242,0.002578337211161852,2.294180393218994
1.0,34.0,33.0,6.25,,11.580882352941176,0.002819813322275877,2.294919729232788
1.0,35.0,34.0,12.5,,11.607142857142858,0.002659260295331478,2.280770778656006
1.0,36.0,35.0,28.125,,12.065972222222221,0.002206889446824789,2.1853089332580566
1.0,37.0,36.0,6.25,,11.908783783783784,0.0052353255450725555,2.3139781951904297
1.0,38.0,37.0,12.5,,11.924342105263158,0.008743512444198132,2.2788329124450684
1.0,39.0,38.0,3.125,,11.698717948717949,0.009364521130919456,2.2574141025543213
1.0,40.0,39.0,12.5,,11.71875,0.006411220878362656,2.3677635192871094
1.0,41.0,40.0,21.875,,11.966463414634147,0.002432406647130847,2.2259488105773926
1.0,42.0,41.0,21.875,,12.202380952380953,0.0017696877475827932,2.2597811222076416
1.0,43.0,42.0,15.625,,12.281976744186046,0.0012010685168206692,2.259908676147461
1.0,44.0,43.0,12.5,,12.286931818181818,0.0010770689696073532,2.254561185836792
1.0,45.0,44.0,6.25,,12.152777777777779,0.002610546536743641,2.2867989540100098
1.0,46.0,45.0,12.5,,12.160326086956522,0.004053408280014992,2.2529587745666504
1.0,47.0,46.0,9.375,,12.101063829787234,0.00431848643347621,2.337742805480957
1.0,48.0,47.0,6.25,,11.979166666666666,0.005212896503508091,2.288954973220825
1.0,49.0,48.0,9.375,,11.926020408163266,0.004627871327102184,2.270660400390625
1.0,50.0,49.0,9.375,,11.875,0.003134531667456031,2.279874801635742
1.0,51.0,50.0,28.125,,12.193627450980392,0.00234321691095829,2.1933913230895996
1.0,52.0,51.0,21.875,,12.379807692307692,0.0033933003433048725,2.2295756340026855
1.0,53.0,52.0,18.75,,12.5,0.007569356355816126,2.1506452560424805
1.0,54.0,53.0,0.0,,12.268518518518519,0.017009824514389038,2.353273391723633
1.0,55.0,54.0,18.75,,12.386363636363637,0.017098966985940933,2.1914942264556885
1.0,56.0,55.0,0.0,,12.165178571428571,0.011659737676382065,2.3604812622070312
1.0,57.0,56.0,21.875,,12.335526315789474,0.005835315212607384,2.2508366107940674
1.0,58.0,57.0,15.625,,12.392241379310345,0.002673717448487878,2.3144357204437256
1.0,59.0,58.0,6.25,,12.288135593220339,0.002080208156257868,2.2651357650756836
1.0,60.0,59.0,31.25,,12.604166666666666,0.0008738826727494597,2.2856223583221436
1.0,61.0,60.0,15.625,,12.653688524590164,0.0005080336122773588,2.2665822505950928
1.0,62.0,61.0,6.25,,12.550403225806452,0.0005776038742624223,2.299278736114502
1.0,63.0,62.0,21.875,,12.698412698412698,0.0004926211549900472,2.2755932807922363
1.0,64.0,63.0,21.875,,12.841796875,0.0006419793353416026,2.2524940967559814
1.0,65.0,64.0,25.0,,13.028846153846153,0.0008060842519626021,2.2682342529296875
1.0,66.0,65.0,12.5,,13.020833333333334,0.0010601889807730913,2.2773759365081787
1.0,67.0,66.0,21.875,,13.152985074626866,0.0029227284248918295,2.2876861095428467
1.0,68.0,67.0,21.875,,13.28125,0.004572850186377764,2.2151613235473633
1.0,69.0,68.0,12.5,,13.269927536231885,0.008090320974588394,2.2112998962402344
1.0,70.0,69.0,25.0,,13.4375,0.014190676622092724,2.180844306945801
1.0,71.0,70.0,15.625,,13.46830985915493,0.01898530311882496,2.2282392978668213
1.0,72.0,71.0,12.5,,13.45486111111111,0.0224161297082901,2.226322650909424
1.0,73.0,72.0,21.875,,13.570205479452055,0.01570560410618782,2.13083553314209
1.0,74.0,73.0,12.5,,13.555743243243244,0.015936989337205887,2.2117793560028076
1.0,75.0,74.0,15.625,,13.583333333333334,0.011603295803070068,2.2606897354125977
1.0,76.0,75.0,18.75,,13.651315789473685,0.010245947167277336,2.2099273204803467
1.0,77.0,76.0,21.875,,13.758116883116884,0.012551861815154552,2.3266382217407227
1.0,78.0,77.0,28.125,,13.942307692307692,0.00969365332275629,2.1843605041503906
1.0,79.0,78.0,34.375,,14.200949367088608,0.013619692996144295,2.297982931137085
1.0,80.0,79.0,12.5,,14.1796875,0.010771496221423149,2.2836856842041016
1.0,81.0,80.0,18.75,,14.23611111111111,0.008142826147377491,2.262691020965576
1.0,82.0,81.0,15.625,,14.253048780487806,0.006517381872981787,2.304701089859009
1.0,83.0,82.0,15.625,,14.269578313253012,0.0032918094657361507,2.251307964324951
1.0,84.0,83.0,21.875,,14.360119047619047,0.005218480713665485,2.2397942543029785
1.0,85.0,84.0,21.875,,14.448529411764707,0.005792716983705759,2.2334580421447754
1.0,86.0,85.0,18.75,,14.498546511627907,0.00990154780447483,2.2465696334838867
1.0,87.0,86.0,12.5,,14.475574712643677,0.015351362526416779,2.1702213287353516
1.0,88.0,87.0,9.375,,14.417613636363637,0.018725115805864334,2.243152618408203
1.0,89.0,88.0,18.75,,14.46629213483146,0.020721830427646637,2.1761722564697266
1.0,90.0,89.0,9.375,,14.409722222222221,0.017062827944755554,2.2785589694976807
1.0,91.0,90.0,25.0,,14.526098901098901,0.015173377469182014,2.2405009269714355
1.0,92.0,91.0,15.625,,14.53804347826087,0.009833241812884808,2.202683448791504
1.0,93.0,92.0,18.75,,14.583333333333334,0.008594956248998642,2.1163620948791504
1.0,94.0,93.0,9.375,,14.527925531914894,0.011181366629898548,2.3231420516967773
1.0,95.0,94.0,18.75,,14.572368421052632,0.008001559413969517,2.194540500640869
1.0,96.0,95.0,31.25,,14.74609375,0.007208190392702818,2.08481502532959
1.0,97.0,96.0,25.0,,14.85180412371134,0.009906180202960968,2.1983771324157715
1.0,98.0,97.0,31.25,,15.019132653061224,0.01142522506415844,2.1987428665161133
1.0,99.0,98.0,12.5,,14.993686868686869,0.016131963580846786,2.1489853858947754
1.0,100.0,99.0,21.875,,15.0625,0.015500395558774471,2.2539243698120117
1.0,101.0,100.0,34.375,,15.253712871287128,0.01249148789793253,2.125338554382324
1.0,102.0,101.0,18.75,,15.28799019607843,0.02059072256088257,2.123833179473877
1.0,103.0,102.0,18.75,,15.321601941747574,0.02345849759876728,2.157266139984131
1.0,104.0,103.0,28.125,,15.444711538461538,0.02267945371568203,2.0082669258117676
1.0,105.0,104.0,21.875,,15.505952380952381,0.03817486763000488,2.142061948776245
1.0,106.0,105.0,9.375,,15.44811320754717,0.036436595022678375,2.1852991580963135
1.0,107.0,106.0,21.875,,15.508177570093459,0.038836520165205,2.2358555793762207
1.0,108.0,107.0,21.875,,15.56712962962963,0.039111167192459106,2.0835330486297607
1.0,109.0,108.0,12.5,,15.538990825688073,0.04834306985139847,2.1822266578674316
1.0,110.0,109.0,21.875,,15.596590909090908,0.046068888157606125,2.087775707244873
1.0,111.0,110.0,6.25,,15.512387387387387,0.04790564998984337,2.139589309692383
1.0,112.0,111.0,15.625,,15.513392857142858,0.035889435559511185,2.3154807090759277
1.0,113.0,112.0,25.0,,15.597345132743364,0.017273705452680588,2.175234079360962
1.0,114.0,113.0,21.875,,15.652412280701755,0.01197490282356739,2.1846959590911865
1.0,115.0,114.0,18.75,,15.679347826086957,0.010095660574734211,2.1498119831085205
1.0,116.0,115.0,6.25,,15.598060344827585,0.008397589437663555,2.2126076221466064
1.0,117.0,116.0,15.625,,15.598290598290598,0.008281836286187172,2.207477331161499
1.0,118.0,117.0,21.875,,15.651483050847459,0.010772716253995895,2.0712153911590576
1.0,119.0,118.0,12.5,,15.625,0.013860947452485561,2.305767059326172
1.0,120.0,119.0,28.125,,15.729166666666666,0.014952654018998146,2.2564785480499268
1.0,121.0,120.0,15.625,,15.728305785123966,0.0157631803303957,2.1743569374084473
1.0,122.0,121.0,9.375,,15.676229508196721,0.0170434582978487,2.164520740509033
1.0,123.0,122.0,25.0,,15.752032520325203,0.01885639876127243,2.1318397521972656
1.0,124.0,123.0,18.75,,15.776209677419354,0.01799999549984932,2.1091372966766357
1.0,125.0,124.0,15.625,,15.775,0.022684181109070778,2.1464383602142334
1.0,125.0,125.0,15.625,22.100000381469727,15.773800000000001,0.022684181109070778,2.1464383602142334
2.0,1.0,126.0,37.5,,37.5,0.02529900148510933,2.057694673538208
2.0,2.0,127.0,18.75,,28.125,0.030019624158740044,2.05965518951416
2.0,3.0,128.0,25.0,,27.083333333333332,0.04159655049443245,2.096670627593994
2.0,4.0,129.0,15.625,,24.21875,0.04820225015282631,2.0300912857055664
2.0,5.0,130.0,18.75,,23.125,0.04566781222820282,1.9966027736663818
2.0,6.0,131.0,21.875,,22.916666666666668,0.045729584991931915,2.0530319213867188
2.0,7.0,132.0,18.75,,22.321428571428573,0.056141674518585205,2.2227745056152344
2.0,8.0,133.0,18.75,,21.875,0.045309070497751236,2.140371561050415
2.0,9.0,134.0,21.875,,21.875,0.04241868481040001,2.0773446559906006
2.0,10.0,135.0,31.25,,22.8125,0.029716890305280685,2.1001758575439453
2.0,11.0,136.0,15.625,,22.15909090909091,0.026632852852344513,2.100181818008423
2.0,12.0,137.0,15.625,,21.614583333333332,0.023107685148715973,2.0636165142059326
2.0,13.0,138.0,25.0,,21.875,0.01868162862956524,2.091855049133301
2.0,14.0,139.0,18.75,,21.651785714285715,0.02452808991074562,2.146568536758423
2.0,15.0,140.0,25.0,,21.875,0.020643766969442368,2.017141819000244
2.0,16.0,141.0,18.75,,21.6796875,0.030051199719309807,2.0916786193847656
2.0,17.0,142.0,12.5,,21.139705882352942,0.03280958533287048,2.1384530067443848
2.0,18.0,143.0,15.625,,20.833333333333332,0.029218483716249466,2.195911407470703
2.0,19.0,144.0,28.125,,21.217105263157894,0.025961805135011673,2.0866682529449463
2.0,20.0,145.0,15.625,,20.9375,0.027656860649585724,2.0602540969848633
2.0,21.0,146.0,18.75,,20.833333333333332,0.027950113639235497,2.1265811920166016
2.0,22.0,147.0,28.125,,21.164772727272727,0.030268363654613495,2.03621768951416
2.0,23.0,148.0,18.75,,21.059782608695652,0.03730048984289169,2.0766420364379883
2.0,24.0,149.0,15.625,,20.833333333333332,0.03842957317829132,1.9316290616989136
2.0,25.0,150.0,12.5,,20.5,0.03921494260430336,2.1844875812530518
2.0,26.0,151.0,25.0,,20.673076923076923,0.05103018879890442,1.9099353551864624
2.0,27.0,152.0,21.875,,20.71759259259259,0.054253846406936646,2.22414231300354
2.0,28.0,153.0,25.0,,20.870535714285715,0.03512659668922424,2.133556365966797
2.0,29.0,154.0,28.125,,21.120689655172413,0.025312263518571854,2.1127657890319824
2.0,30.0,155.0,21.875,,21.145833333333332,0.025110669434070587,2.1616573333740234
2.0,31.0,156.0,21.875,,21.169354838709676,0.022016556933522224,2.192840814590454
2.0,32.0,157.0,15.625,,20.99609375,0.025825224816799164,2.2083332538604736
2.0,33.0,158.0,21.875,,21.022727272727273,0.015915025025606155,2.162954330444336
2.0,34.0,159.0,12.5,,20.772058823529413,0.015567626804113388,2.1957569122314453
2.0,35.0,160.0,31.25,,21.071428571428573,0.014895525760948658,2.068376064300537
2.0,36.0,161.0,25.0,,21.180555555555557,0.016247445717453957,2.121675729751587
2.0,37.0,162.0,15.625,,21.030405405405407,0.01915465109050274,2.1049399375915527
2.0,38.0,163.0,18.75,,20.97039473684211,0.020719164982438087,2.0542240142822266
2.0,39.0,164.0,34.375,,21.31410256410257,0.026937130838632584,2.1180319786071777
2.0,40.0,165.0,18.75,,21.250000000000007,0.027581337839365005,2.082183599472046
2.0,41.0,166.0,18.75,,21.189024390243908,0.03197566419839859,2.1213245391845703
2.0,42.0,167.0,18.75,,21.130952380952387,0.03328557685017586,2.0223476886749268
2.0,43.0,168.0,28.125,,21.293604651162795,0.033874522894620895,1.9588181972503662
2.0,44.0,169.0,25.0,,21.377840909090914,0.04008051007986069,1.9816617965698242
2.0,45.0,170.0,25.0,,21.45833333333334,0.052222564816474915,1.9533436298370361
2.0,46.0,171.0,21.875,,21.46739130434783,0.05492434278130531,2.0970969200134277
2.0,47.0,172.0,34.375,,21.74202127659575,0.055026814341545105,1.9841171503067017
2.0,48.0,173.0,28.125,,21.875000000000004,0.05776118487119675,2.034966468811035
2.0,49.0,174.0,25.0,,21.938775510204085,0.052032873034477234,1.9619542360305786
2.0,50.0,175.0,12.5,,21.750000000000004,0.046852223575115204,2.076307773590088
2.0,51.0,176.0,21.875,,21.75245098039216,0.04923328012228012,2.0723204612731934
2.0,52.0,177.0,28.125,,21.875000000000004,0.04617251083254814,2.0153143405914307
2.0,53.0,178.0,31.25,,22.051886792452834,0.03931844234466553,1.9317362308502197
2.0,54.0,179.0,21.875,,22.048611111111114,0.03616607189178467,2.008540630340576
2.0,55.0,180.0,37.5,,22.32954545454546,0.03693946450948715,2.0048999786376953
2.0,56.0,181.0,37.5,,22.600446428571434,0.04215501248836517,2.0554392337799072
2.0,57.0,182.0,18.75,,22.53289473684211,0.04129324108362198,2.1798667907714844
2.0,58.0,183.0,28.125,,22.62931034482759,0.045338213443756104,2.1674084663391113
2.0,59.0,184.0,21.875,,22.616525423728817,0.04542763903737068,1.9915580749511719
