223 unlabelled training bactches, 94 labelled batches. Will reuse samples to match batch numbers
Epoch 1, train accuracy:0.00%, batch: 1/223
Epoch 1, train accuracy:12.72%, batch: 127/223
Epoch 1, train accuracy:12.70%, batch: 128/223
Epoch 1, train accuracy:12.67%, batch: 129/223
Epoch 1, train accuracy:12.64%, batch: 130/223
Epoch 1, train accuracy:12.62%, batch: 131/223
Epoch 1, train accuracy:12.59%, batch: 132/223
Epoch 1, train accuracy:12.57%, batch: 133/223
Epoch 1, train accuracy:12.55%, batch: 134/223
Epoch 1, train accuracy:12.52%, batch: 135/223
Epoch 1, train accuracy:12.50%, batch: 136/223
Epoch 1, train accuracy:12.48%, batch: 137/223
Epoch 1, train accuracy:12.45%, batch: 138/223
Epoch 1, train accuracy:12.43%, batch: 139/223
Epoch 1, train accuracy:12.39%, batch: 140/223
Epoch 1, train accuracy:12.34%, batch: 141/223
Epoch 1, train accuracy:12.30%, batch: 142/223
Epoch 1, train accuracy:12.28%, batch: 143/223
Epoch 1, train accuracy:12.26%, batch: 144/223
Epoch 1, train accuracy:12.24%, batch: 145/223
Epoch 1, train accuracy:12.22%, batch: 146/223
Epoch 1, train accuracy:12.20%, batch: 147/223
Epoch 1, train accuracy:12.18%, batch: 148/223
Epoch 1, train accuracy:12.16%, batch: 149/223
Epoch 1, train accuracy:12.15%, batch: 150/223
Epoch 1, train accuracy:12.13%, batch: 151/223
Epoch 1, train accuracy:12.11%, batch: 152/223
Epoch 1, train accuracy:12.09%, batch: 153/223
Epoch 1, train accuracy:12.07%, batch: 154/223
Epoch 1, train accuracy:12.06%, batch: 155/223
Epoch 1, train accuracy:12.04%, batch: 156/223
Epoch 1, train accuracy:12.02%, batch: 157/223
Epoch 1, train accuracy:12.01%, batch: 158/223
Epoch 1, train accuracy:11.99%, batch: 159/223
Epoch 1, train accuracy:11.97%, batch: 160/223
Epoch 1, train accuracy:11.96%, batch: 161/223
Epoch 1, train accuracy:11.94%, batch: 162/223
Epoch 1, train accuracy:11.92%, batch: 163/223
Epoch 1, train accuracy:11.91%, batch: 164/223
Epoch 1, train accuracy:11.89%, batch: 165/223
Epoch 1, train accuracy:11.88%, batch: 166/223
Epoch 1, train accuracy:11.86%, batch: 167/223
Epoch 1, train accuracy:11.85%, batch: 168/223
Epoch 1, train accuracy:11.83%, batch: 169/223
Epoch 1, train accuracy:11.82%, batch: 170/223
