223 unlabelled training bactches, 94 labelled batches. Will reuse samples to match batch numbers
Epoch 5, train accuracy:21.33%, batch: 199/223
Epoch 5, train accuracy:21.28%, batch: 200/223
Epoch 5, train accuracy:21.24%, batch: 201/223
Epoch 5, train accuracy:21.19%, batch: 202/223
Epoch 5, train accuracy:21.15%, batch: 203/223
Epoch 5, train accuracy:21.11%, batch: 204/223
Epoch 5, train accuracy:21.07%, batch: 205/223
Epoch 5, train accuracy:21.03%, batch: 206/223
Epoch 5, train accuracy:20.98%, batch: 207/223
Epoch 5, train accuracy:20.94%, batch: 208/223
Epoch 5, train accuracy:20.90%, batch: 209/223
Epoch 5, train accuracy:20.86%, batch: 210/223
Epoch 5, train accuracy:20.82%, batch: 211/223
Epoch 5, train accuracy:20.78%, batch: 212/223
Epoch 5, train accuracy:20.75%, batch: 213/223
Epoch 5, train accuracy:20.71%, batch: 214/223
Epoch 5, train accuracy:20.67%, batch: 215/223
Epoch 5, train accuracy:20.63%, batch: 216/223
Epoch 5, train accuracy:20.59%, batch: 217/223
Epoch 5, train accuracy:20.56%, batch: 218/223
Epoch 5, train accuracy:20.52%, batch: 219/223
Epoch 5, train accuracy:20.48%, batch: 220/223
Epoch 5, train accuracy:20.45%, batch: 221/223
Epoch 5, train accuracy:20.41%, batch: 222/223
Epoch 5, train accuracy:20.38%, batch: 223/223
Epoch 5, train accuracy:20.38%, validation accuracy:9.45, batch: 223/223
Epoch 6, train accuracy:12.50%, batch: 1/223
Epoch 6, train accuracy:12.50%, batch: 2/223
Epoch 6, train accuracy:12.50%, batch: 3/223
Epoch 6, train accuracy:12.50%, batch: 4/223
Epoch 6, train accuracy:12.50%, batch: 5/223
Epoch 6, train accuracy:14.58%, batch: 6/223
Epoch 6, train accuracy:16.07%, batch: 7/223
Epoch 6, train accuracy:17.19%, batch: 8/223
Epoch 6, train accuracy:18.06%, batch: 9/223
Epoch 6, train accuracy:18.75%, batch: 10/223
Epoch 6, train accuracy:19.32%, batch: 11/223
Epoch 6, train accuracy:19.79%, batch: 12/223
Epoch 6, train accuracy:20.19%, batch: 13/223
Epoch 6, train accuracy:20.54%, batch: 14/223
Epoch 6, train accuracy:20.83%, batch: 15/223
Epoch 6, train accuracy:21.09%, batch: 16/223
Epoch 6, train accuracy:21.32%, batch: 17/223
Epoch 6, train accuracy:21.53%, batch: 18/223
Epoch 6, train accuracy:21.71%, batch: 19/223
Epoch 6, train accuracy:21.88%, batch: 20/223
Epoch 6, train accuracy:22.02%, batch: 21/223
Epoch 6, train accuracy:22.16%, batch: 22/223
Epoch 6, train accuracy:22.28%, batch: 23/223
Epoch 6, train accuracy:22.40%, batch: 24/223
Epoch 6, train accuracy:21.88%, batch: 25/223
Epoch 6, train accuracy:21.39%, batch: 26/223
Epoch 6, train accuracy:20.95%, batch: 27/223
Epoch 6, train accuracy:20.54%, batch: 28/223
Epoch 6, train accuracy:20.15%, batch: 29/223
Epoch 6, train accuracy:20.21%, batch: 30/223
Epoch 6, train accuracy:20.26%, batch: 31/223
Epoch 6, train accuracy:20.31%, batch: 32/223
Epoch 6, train accuracy:20.36%, batch: 33/223
Epoch 6, train accuracy:20.40%, batch: 34/223
Epoch 6, train accuracy:20.45%, batch: 35/223
Epoch 6, train accuracy:20.49%, batch: 36/223
Epoch 6, train accuracy:20.52%, batch: 37/223
Epoch 6, train accuracy:20.56%, batch: 38/223
Epoch 6, train accuracy:20.43%, batch: 39/223
Epoch 6, train accuracy:20.31%, batch: 40/223
Epoch 6, train accuracy:20.20%, batch: 41/223
Epoch 6, train accuracy:20.09%, batch: 42/223
Epoch 6, train accuracy:19.99%, batch: 43/223
Epoch 6, train accuracy:19.89%, batch: 44/223
Epoch 6, train accuracy:19.79%, batch: 45/223
Epoch 6, train accuracy:19.70%, batch: 46/223
Epoch 6, train accuracy:19.61%, batch: 47/223
Epoch 6, train accuracy:19.53%, batch: 48/223
Epoch 6, train accuracy:19.45%, batch: 49/223
Epoch 6, train accuracy:19.38%, batch: 50/223
Epoch 6, train accuracy:19.30%, batch: 51/223
Epoch 6, train accuracy:19.23%, batch: 52/223
Epoch 6, train accuracy:19.16%, batch: 53/223
Epoch 6, train accuracy:19.10%, batch: 54/223
Epoch 6, train accuracy:19.03%, batch: 55/223
Epoch 6, train accuracy:18.97%, batch: 56/223
Epoch 6, train accuracy:18.91%, batch: 57/223
Epoch 6, train accuracy:18.86%, batch: 58/223
Epoch 6, train accuracy:18.80%, batch: 59/223
Epoch 6, train accuracy:18.75%, batch: 60/223
Epoch 6, train accuracy:18.70%, batch: 61/223
Epoch 6, train accuracy:18.65%, batch: 62/223
Epoch 6, train accuracy:18.60%, batch: 63/223
Epoch 6, train accuracy:18.55%, batch: 64/223
Epoch 6, train accuracy:18.51%, batch: 65/223
Epoch 6, train accuracy:18.47%, batch: 66/223
Epoch 6, train accuracy:18.42%, batch: 67/223
Epoch 6, train accuracy:18.38%, batch: 68/223
Epoch 6, train accuracy:18.34%, batch: 69/223
Epoch 6, train accuracy:18.30%, batch: 70/223
Epoch 6, train accuracy:18.27%, batch: 71/223
Epoch 6, train accuracy:18.23%, batch: 72/223
Epoch 6, train accuracy:18.19%, batch: 73/223
Epoch 6, train accuracy:18.16%, batch: 74/223
Epoch 6, train accuracy:18.13%, batch: 75/223
Epoch 6, train accuracy:18.09%, batch: 76/223
Epoch 6, train accuracy:18.06%, batch: 77/223
Epoch 6, train accuracy:18.03%, batch: 78/223
Epoch 6, train accuracy:18.00%, batch: 79/223
Epoch 6, train accuracy:17.97%, batch: 80/223
Epoch 6, train accuracy:17.94%, batch: 81/223
Epoch 6, train accuracy:17.91%, batch: 82/223
Epoch 6, train accuracy:17.88%, batch: 83/223
Epoch 6, train accuracy:17.86%, batch: 84/223
Epoch 6, train accuracy:17.83%, batch: 85/223
Epoch 6, train accuracy:17.81%, batch: 86/223
Epoch 6, train accuracy:17.78%, batch: 87/223
Epoch 6, train accuracy:17.76%, batch: 88/223
Epoch 6, train accuracy:17.73%, batch: 89/223
Epoch 6, train accuracy:17.71%, batch: 90/223
Epoch 6, train accuracy:17.69%, batch: 91/223
Epoch 6, train accuracy:17.66%, batch: 92/223
Epoch 6, train accuracy:17.64%, batch: 93/223
Epoch 6, train accuracy:17.62%, batch: 94/223
Epoch 6, train accuracy:17.60%, batch: 95/223
Epoch 6, train accuracy:17.58%, batch: 96/223
Epoch 6, train accuracy:17.56%, batch: 97/223
Epoch 6, train accuracy:17.54%, batch: 98/223
Epoch 6, train accuracy:17.52%, batch: 99/223
Epoch 6, train accuracy:17.50%, batch: 100/223
Epoch 6, train accuracy:17.48%, batch: 101/223
Epoch 6, train accuracy:17.46%, batch: 102/223
Epoch 6, train accuracy:17.45%, batch: 103/223
Epoch 6, train accuracy:17.43%, batch: 104/223
Epoch 6, train accuracy:17.41%, batch: 105/223
Epoch 6, train accuracy:17.39%, batch: 106/223
Epoch 6, train accuracy:17.38%, batch: 107/223
Epoch 6, train accuracy:17.36%, batch: 108/223
Epoch 6, train accuracy:17.35%, batch: 109/223
Epoch 6, train accuracy:17.33%, batch: 110/223
Epoch 6, train accuracy:17.31%, batch: 111/223
Epoch 6, train accuracy:17.30%, batch: 112/223
Epoch 6, train accuracy:17.31%, batch: 113/223
Epoch 6, train accuracy:17.32%, batch: 114/223
Epoch 6, train accuracy:17.34%, batch: 115/223
Epoch 6, train accuracy:17.35%, batch: 116/223
Epoch 6, train accuracy:17.36%, batch: 117/223
Epoch 6, train accuracy:17.37%, batch: 118/223
Epoch 6, train accuracy:17.38%, batch: 119/223
Epoch 6, train accuracy:17.40%, batch: 120/223
Epoch 6, train accuracy:17.41%, batch: 121/223
Epoch 6, train accuracy:17.42%, batch: 122/223
Epoch 6, train accuracy:17.33%, batch: 123/223
Epoch 6, train accuracy:17.24%, batch: 124/223
Epoch 6, train accuracy:17.15%, batch: 125/223
Epoch 6, train accuracy:17.06%, batch: 126/223
Epoch 6, train accuracy:16.98%, batch: 127/223
Epoch 6, train accuracy:16.89%, batch: 128/223
Epoch 6, train accuracy:16.81%, batch: 129/223
Epoch 6, train accuracy:16.73%, batch: 130/223
Epoch 6, train accuracy:16.65%, batch: 131/223
Epoch 6, train accuracy:16.57%, batch: 132/223
Epoch 6, train accuracy:16.49%, batch: 133/223
Epoch 6, train accuracy:16.42%, batch: 134/223
Epoch 6, train accuracy:16.34%, batch: 135/223
Epoch 6, train accuracy:16.27%, batch: 136/223
Epoch 6, train accuracy:16.20%, batch: 137/223
Epoch 6, train accuracy:16.12%, batch: 138/223
Epoch 6, train accuracy:16.05%, batch: 139/223
Epoch 6, train accuracy:16.07%, batch: 140/223
Epoch 6, train accuracy:16.09%, batch: 141/223
Epoch 6, train accuracy:16.11%, batch: 142/223
Epoch 6, train accuracy:16.15%, batch: 143/223
Epoch 6, train accuracy:16.19%, batch: 144/223
Epoch 6, train accuracy:16.23%, batch: 145/223
Epoch 6, train accuracy:16.27%, batch: 146/223
Epoch 6, train accuracy:16.31%, batch: 147/223
Epoch 6, train accuracy:16.34%, batch: 148/223
Epoch 6, train accuracy:16.38%, batch: 149/223
Epoch 6, train accuracy:16.42%, batch: 150/223
Epoch 6, train accuracy:16.45%, batch: 151/223
Epoch 6, train accuracy:16.49%, batch: 152/223
Epoch 6, train accuracy:16.52%, batch: 153/223
Epoch 6, train accuracy:16.56%, batch: 154/223
Epoch 6, train accuracy:16.59%, batch: 155/223
Epoch 6, train accuracy:16.63%, batch: 156/223
Epoch 6, train accuracy:16.66%, batch: 157/223
Epoch 6, train accuracy:16.69%, batch: 158/223
Epoch 6, train accuracy:16.73%, batch: 159/223
Epoch 6, train accuracy:16.76%, batch: 160/223
Epoch 6, train accuracy:16.79%, batch: 161/223
Epoch 6, train accuracy:16.82%, batch: 162/223
Epoch 6, train accuracy:16.85%, batch: 163/223
Epoch 6, train accuracy:16.88%, batch: 164/223
Epoch 6, train accuracy:16.91%, batch: 165/223
Epoch 6, train accuracy:16.94%, batch: 166/223
Epoch 6, train accuracy:16.97%, batch: 167/223
Epoch 6, train accuracy:17.00%, batch: 168/223
Epoch 6, train accuracy:17.03%, batch: 169/223
Epoch 6, train accuracy:17.06%, batch: 170/223
Epoch 6, train accuracy:17.09%, batch: 171/223
Epoch 6, train accuracy:17.11%, batch: 172/223
Epoch 6, train accuracy:17.14%, batch: 173/223
Epoch 6, train accuracy:17.17%, batch: 174/223
Epoch 6, train accuracy:17.20%, batch: 175/223
Epoch 6, train accuracy:17.22%, batch: 176/223
Epoch 6, train accuracy:17.25%, batch: 177/223
Epoch 6, train accuracy:17.28%, batch: 178/223
Epoch 6, train accuracy:17.30%, batch: 179/223
Epoch 6, train accuracy:17.33%, batch: 180/223
Epoch 6, train accuracy:17.35%, batch: 181/223
Epoch 6, train accuracy:17.38%, batch: 182/223
Epoch 6, train accuracy:17.35%, batch: 183/223
Epoch 6, train accuracy:17.32%, batch: 184/223
Epoch 6, train accuracy:17.30%, batch: 185/223
Epoch 6, train accuracy:17.27%, batch: 186/223
Epoch 6, train accuracy:17.25%, batch: 187/223
Epoch 6, train accuracy:17.22%, batch: 188/223
Epoch 6, train accuracy:17.20%, batch: 189/223
Epoch 6, train accuracy:17.17%, batch: 190/223
Epoch 6, train accuracy:17.15%, batch: 191/223
Epoch 6, train accuracy:17.12%, batch: 192/223
Epoch 6, train accuracy:17.10%, batch: 193/223
Epoch 6, train accuracy:17.07%, batch: 194/223
Epoch 6, train accuracy:17.05%, batch: 195/223
Epoch 6, train accuracy:17.03%, batch: 196/223
Epoch 6, train accuracy:17.01%, batch: 197/223
Epoch 6, train accuracy:16.98%, batch: 198/223
Epoch 6, train accuracy:16.96%, batch: 199/223
Epoch 6, train accuracy:16.94%, batch: 200/223
Epoch 6, train accuracy:16.92%, batch: 201/223
Epoch 6, train accuracy:16.89%, batch: 202/223
Epoch 6, train accuracy:16.87%, batch: 203/223
Epoch 6, train accuracy:16.85%, batch: 204/223
Epoch 6, train accuracy:16.83%, batch: 205/223
Epoch 6, train accuracy:16.81%, batch: 206/223
Epoch 6, train accuracy:16.79%, batch: 207/223
Epoch 6, train accuracy:16.77%, batch: 208/223
Epoch 6, train accuracy:16.75%, batch: 209/223
Epoch 6, train accuracy:16.73%, batch: 210/223
Epoch 6, train accuracy:16.71%, batch: 211/223
Epoch 6, train accuracy:16.69%, batch: 212/223
Epoch 6, train accuracy:16.67%, batch: 213/223
Epoch 6, train accuracy:16.65%, batch: 214/223
Epoch 6, train accuracy:16.63%, batch: 215/223
Epoch 6, train accuracy:16.61%, batch: 216/223
Epoch 6, train accuracy:16.59%, batch: 217/223
Epoch 6, train accuracy:16.57%, batch: 218/223
Epoch 6, train accuracy:16.55%, batch: 219/223
Epoch 6, train accuracy:16.53%, batch: 220/223
Epoch 6, train accuracy:16.52%, batch: 221/223
Epoch 6, train accuracy:16.50%, batch: 222/223
Epoch 6, train accuracy:16.48%, batch: 223/223
Epoch 6, train accuracy:16.48%, validation accuracy:13.13, batch: 223/223
Epoch 7, train accuracy:12.50%, batch: 1/223
Epoch 7, train accuracy:12.50%, batch: 2/223
Epoch 7, train accuracy:12.50%, batch: 3/223
Epoch 7, train accuracy:12.50%, batch: 4/223
Epoch 7, train accuracy:12.50%, batch: 5/223
Epoch 7, train accuracy:12.50%, batch: 6/223
Epoch 7, train accuracy:12.50%, batch: 7/223
Epoch 7, train accuracy:12.50%, batch: 8/223
Epoch 7, train accuracy:12.50%, batch: 9/223
Epoch 7, train accuracy:12.50%, batch: 10/223
Epoch 7, train accuracy:12.50%, batch: 11/223
Epoch 7, train accuracy:12.50%, batch: 12/223
Epoch 7, train accuracy:12.50%, batch: 13/223
Epoch 7, train accuracy:12.50%, batch: 14/223
Epoch 7, train accuracy:12.50%, batch: 15/223
Epoch 7, train accuracy:12.50%, batch: 16/223
Epoch 7, train accuracy:12.50%, batch: 17/223
Epoch 7, train accuracy:12.50%, batch: 18/223
Epoch 7, train accuracy:12.50%, batch: 19/223
Epoch 7, train accuracy:12.50%, batch: 20/223
Epoch 7, train accuracy:12.50%, batch: 21/223
Epoch 7, train accuracy:12.50%, batch: 22/223
Epoch 7, train accuracy:12.50%, batch: 23/223
Epoch 7, train accuracy:12.50%, batch: 24/223
Epoch 7, train accuracy:12.50%, batch: 25/223
Epoch 7, train accuracy:12.50%, batch: 26/223
Epoch 7, train accuracy:12.50%, batch: 27/223
Epoch 7, train accuracy:12.50%, batch: 28/223
Epoch 7, train accuracy:12.50%, batch: 29/223
Epoch 7, train accuracy:13.02%, batch: 30/223
Epoch 7, train accuracy:13.51%, batch: 31/223
Epoch 7, train accuracy:13.96%, batch: 32/223
Epoch 7, train accuracy:14.39%, batch: 33/223
Epoch 7, train accuracy:14.80%, batch: 34/223
Epoch 7, train accuracy:15.18%, batch: 35/223
Epoch 7, train accuracy:15.54%, batch: 36/223
Epoch 7, train accuracy:15.88%, batch: 37/223
Epoch 7, train accuracy:16.20%, batch: 38/223
Epoch 7, train accuracy:16.27%, batch: 39/223
Epoch 7, train accuracy:16.33%, batch: 40/223
Epoch 7, train accuracy:16.39%, batch: 41/223
Epoch 7, train accuracy:16.44%, batch: 42/223
Epoch 7, train accuracy:16.50%, batch: 43/223
Epoch 7, train accuracy:16.55%, batch: 44/223
Epoch 7, train accuracy:16.60%, batch: 45/223
Epoch 7, train accuracy:16.64%, batch: 46/223
Epoch 7, train accuracy:16.69%, batch: 47/223
Epoch 7, train accuracy:16.73%, batch: 48/223
Epoch 7, train accuracy:16.77%, batch: 49/223
Epoch 7, train accuracy:16.81%, batch: 50/223
Epoch 7, train accuracy:16.85%, batch: 51/223
Epoch 7, train accuracy:16.89%, batch: 52/223
Epoch 7, train accuracy:16.92%, batch: 53/223
Epoch 7, train accuracy:16.96%, batch: 54/223
Epoch 7, train accuracy:16.99%, batch: 55/223
Epoch 7, train accuracy:17.02%, batch: 56/223
Epoch 7, train accuracy:17.05%, batch: 57/223
Epoch 7, train accuracy:17.08%, batch: 58/223
Epoch 7, train accuracy:17.11%, batch: 59/223
Epoch 7, train accuracy:17.14%, batch: 60/223
Epoch 7, train accuracy:17.16%, batch: 61/223
Epoch 7, train accuracy:17.19%, batch: 62/223
Epoch 7, train accuracy:17.21%, batch: 63/223
Epoch 7, train accuracy:17.24%, batch: 64/223
Epoch 7, train accuracy:17.26%, batch: 65/223
Epoch 7, train accuracy:17.28%, batch: 66/223
Epoch 7, train accuracy:17.30%, batch: 67/223
Epoch 7, train accuracy:17.33%, batch: 68/223
Epoch 7, train accuracy:17.35%, batch: 69/223
Epoch 7, train accuracy:17.37%, batch: 70/223
Epoch 7, train accuracy:17.39%, batch: 71/223
Epoch 7, train accuracy:17.40%, batch: 72/223
Epoch 7, train accuracy:17.42%, batch: 73/223
Epoch 7, train accuracy:17.44%, batch: 74/223
Epoch 7, train accuracy:17.46%, batch: 75/223
Epoch 7, train accuracy:17.48%, batch: 76/223
Epoch 7, train accuracy:17.49%, batch: 77/223
Epoch 7, train accuracy:17.51%, batch: 78/223
Epoch 7, train accuracy:17.52%, batch: 79/223
Epoch 7, train accuracy:17.54%, batch: 80/223
Epoch 7, train accuracy:17.55%, batch: 81/223
Epoch 7, train accuracy:17.57%, batch: 82/223
Epoch 7, train accuracy:17.58%, batch: 83/223
Epoch 7, train accuracy:17.60%, batch: 84/223
Epoch 7, train accuracy:17.61%, batch: 85/223
Epoch 7, train accuracy:17.62%, batch: 86/223
Epoch 7, train accuracy:17.64%, batch: 87/223
Epoch 7, train accuracy:17.65%, batch: 88/223
Epoch 7, train accuracy:17.66%, batch: 89/223
Epoch 7, train accuracy:17.67%, batch: 90/223
Epoch 7, train accuracy:17.69%, batch: 91/223
Epoch 7, train accuracy:17.70%, batch: 92/223
Epoch 7, train accuracy:17.71%, batch: 93/223
Epoch 7, train accuracy:17.72%, batch: 94/223
Epoch 7, train accuracy:17.73%, batch: 95/223
Epoch 7, train accuracy:17.74%, batch: 96/223
Epoch 7, train accuracy:17.75%, batch: 97/223
Epoch 7, train accuracy:17.76%, batch: 98/223
Epoch 7, train accuracy:17.77%, batch: 99/223
Epoch 7, train accuracy:17.78%, batch: 100/223
Epoch 7, train accuracy:17.79%, batch: 101/223
Epoch 7, train accuracy:17.80%, batch: 102/223
Epoch 7, train accuracy:17.81%, batch: 103/223
Epoch 7, train accuracy:17.82%, batch: 104/223
Epoch 7, train accuracy:17.83%, batch: 105/223
Epoch 7, train accuracy:17.84%, batch: 106/223
Epoch 7, train accuracy:17.84%, batch: 107/223
Epoch 7, train accuracy:17.85%, batch: 108/223
Epoch 7, train accuracy:17.86%, batch: 109/223
Epoch 7, train accuracy:17.87%, batch: 110/223
Epoch 7, train accuracy:17.88%, batch: 111/223
Epoch 7, train accuracy:17.89%, batch: 112/223
Epoch 7, train accuracy:17.89%, batch: 113/223
Epoch 7, train accuracy:17.90%, batch: 114/223
Epoch 7, train accuracy:17.91%, batch: 115/223
Epoch 7, train accuracy:17.91%, batch: 116/223
Epoch 7, train accuracy:17.92%, batch: 117/223
Epoch 7, train accuracy:17.93%, batch: 118/223
Epoch 7, train accuracy:17.94%, batch: 119/223
Epoch 7, train accuracy:17.94%, batch: 120/223
Epoch 7, train accuracy:17.95%, batch: 121/223
Epoch 7, train accuracy:17.96%, batch: 122/223
Epoch 7, train accuracy:17.91%, batch: 123/223
Epoch 7, train accuracy:17.87%, batch: 124/223
Epoch 7, train accuracy:17.82%, batch: 125/223
Epoch 7, train accuracy:17.78%, batch: 126/223
Epoch 7, train accuracy:17.74%, batch: 127/223
Epoch 7, train accuracy:17.70%, batch: 128/223
Epoch 7, train accuracy:17.66%, batch: 129/223
Epoch 7, train accuracy:17.62%, batch: 130/223
Epoch 7, train accuracy:17.58%, batch: 131/223
Epoch 7, train accuracy:17.54%, batch: 132/223
Epoch 7, train accuracy:17.50%, batch: 133/223
Epoch 7, train accuracy:17.47%, batch: 134/223
Epoch 7, train accuracy:17.43%, batch: 135/223
Epoch 7, train accuracy:17.39%, batch: 136/223
Epoch 7, train accuracy:17.36%, batch: 137/223
Epoch 7, train accuracy:17.32%, batch: 138/223
Epoch 7, train accuracy:17.29%, batch: 139/223
Epoch 7, train accuracy:17.19%, batch: 140/223
Epoch 7, train accuracy:17.09%, batch: 141/223
Epoch 7, train accuracy:16.99%, batch: 142/223
Epoch 7, train accuracy:17.11%, batch: 143/223
Epoch 7, train accuracy:17.23%, batch: 144/223
Epoch 7, train accuracy:17.35%, batch: 145/223
Epoch 7, train accuracy:17.47%, batch: 146/223
Epoch 7, train accuracy:17.58%, batch: 147/223
Epoch 7, train accuracy:17.69%, batch: 148/223
Epoch 7, train accuracy:17.81%, batch: 149/223
Epoch 7, train accuracy:17.92%, batch: 150/223
Epoch 7, train accuracy:18.03%, batch: 151/223
Epoch 7, train accuracy:18.13%, batch: 152/223
Epoch 7, train accuracy:18.24%, batch: 153/223
Epoch 7, train accuracy:18.34%, batch: 154/223
Epoch 7, train accuracy:18.45%, batch: 155/223
Epoch 7, train accuracy:18.55%, batch: 156/223
Epoch 7, train accuracy:18.65%, batch: 157/223
Epoch 7, train accuracy:18.75%, batch: 158/223
Epoch 7, train accuracy:18.85%, batch: 159/223
Epoch 7, train accuracy:18.95%, batch: 160/223
Epoch 7, train accuracy:19.04%, batch: 161/223
Epoch 7, train accuracy:19.14%, batch: 162/223
Epoch 7, train accuracy:19.23%, batch: 163/223
Epoch 7, train accuracy:19.32%, batch: 164/223
Epoch 7, train accuracy:19.41%, batch: 165/223
Epoch 7, train accuracy:19.50%, batch: 166/223
Epoch 7, train accuracy:19.59%, batch: 167/223
Epoch 7, train accuracy:19.68%, batch: 168/223
Epoch 7, train accuracy:19.77%, batch: 169/223
Epoch 7, train accuracy:19.85%, batch: 170/223
Epoch 7, train accuracy:19.94%, batch: 171/223
Epoch 7, train accuracy:20.02%, batch: 172/223
Epoch 7, train accuracy:20.10%, batch: 173/223
Epoch 7, train accuracy:20.19%, batch: 174/223
Epoch 7, train accuracy:20.27%, batch: 175/223
Epoch 7, train accuracy:20.35%, batch: 176/223
Epoch 7, train accuracy:20.43%, batch: 177/223
Epoch 7, train accuracy:20.51%, batch: 178/223
Epoch 7, train accuracy:20.58%, batch: 179/223
Epoch 7, train accuracy:20.66%, batch: 180/223
Epoch 7, train accuracy:20.74%, batch: 181/223
Epoch 7, train accuracy:20.81%, batch: 182/223
Epoch 7, train accuracy:20.85%, batch: 183/223
Epoch 7, train accuracy:20.89%, batch: 184/223
Epoch 7, train accuracy:20.93%, batch: 185/223
Epoch 7, train accuracy:20.97%, batch: 186/223
Epoch 7, train accuracy:21.01%, batch: 187/223
Epoch 7, train accuracy:21.04%, batch: 188/223
Epoch 7, train accuracy:21.08%, batch: 189/223
Epoch 7, train accuracy:21.12%, batch: 190/223
Epoch 7, train accuracy:21.16%, batch: 191/223
Epoch 7, train accuracy:21.19%, batch: 192/223
Epoch 7, train accuracy:21.23%, batch: 193/223
Epoch 7, train accuracy:21.26%, batch: 194/223
Epoch 7, train accuracy:21.30%, batch: 195/223
Epoch 7, train accuracy:21.33%, batch: 196/223
Epoch 7, train accuracy:21.37%, batch: 197/223
Epoch 7, train accuracy:21.40%, batch: 198/223
Epoch 7, train accuracy:21.44%, batch: 199/223
Epoch 7, train accuracy:21.47%, batch: 200/223
Epoch 7, train accuracy:21.50%, batch: 201/223
Epoch 7, train accuracy:21.53%, batch: 202/223
Epoch 7, train accuracy:21.57%, batch: 203/223
Epoch 7, train accuracy:21.60%, batch: 204/223
Epoch 7, train accuracy:21.63%, batch: 205/223
Epoch 7, train accuracy:21.66%, batch: 206/223
Epoch 7, train accuracy:21.69%, batch: 207/223
Epoch 7, train accuracy:21.72%, batch: 208/223
Epoch 7, train accuracy:21.76%, batch: 209/223
Epoch 7, train accuracy:21.79%, batch: 210/223
Epoch 7, train accuracy:21.82%, batch: 211/223
Epoch 7, train accuracy:21.85%, batch: 212/223
Epoch 7, train accuracy:21.88%, batch: 213/223
Epoch 7, train accuracy:21.90%, batch: 214/223
Epoch 7, train accuracy:21.93%, batch: 215/223
Epoch 7, train accuracy:21.96%, batch: 216/223
Epoch 7, train accuracy:21.99%, batch: 217/223
Epoch 7, train accuracy:22.02%, batch: 218/223
Epoch 7, train accuracy:22.05%, batch: 219/223
Epoch 7, train accuracy:22.07%, batch: 220/223
Epoch 7, train accuracy:22.10%, batch: 221/223
Epoch 7, train accuracy:22.13%, batch: 222/223
Epoch 7, train accuracy:22.16%, batch: 223/223
Epoch 7, train accuracy:22.16%, validation accuracy:9.63, batch: 223/223
Epoch 8, train accuracy:28.12%, batch: 1/223
Epoch 8, train accuracy:28.12%, batch: 2/223
Epoch 8, train accuracy:28.12%, batch: 3/223
Epoch 8, train accuracy:28.12%, batch: 4/223
Epoch 8, train accuracy:28.12%, batch: 5/223
Epoch 8, train accuracy:25.00%, batch: 6/223
Epoch 8, train accuracy:22.77%, batch: 7/223
Epoch 8, train accuracy:21.09%, batch: 8/223
Epoch 8, train accuracy:19.79%, batch: 9/223
Epoch 8, train accuracy:18.75%, batch: 10/223
Epoch 8, train accuracy:17.90%, batch: 11/223
Epoch 8, train accuracy:17.19%, batch: 12/223
Epoch 8, train accuracy:16.59%, batch: 13/223
Epoch 8, train accuracy:16.07%, batch: 14/223
Epoch 8, train accuracy:15.62%, batch: 15/223
Epoch 8, train accuracy:15.23%, batch: 16/223
Epoch 8, train accuracy:14.89%, batch: 17/223
Epoch 8, train accuracy:14.58%, batch: 18/223
Epoch 8, train accuracy:14.31%, batch: 19/223
Epoch 8, train accuracy:14.06%, batch: 20/223
Epoch 8, train accuracy:13.84%, batch: 21/223
Epoch 8, train accuracy:13.64%, batch: 22/223
Epoch 8, train accuracy:13.45%, batch: 23/223
Epoch 8, train accuracy:13.28%, batch: 24/223
Epoch 8, train accuracy:13.00%, batch: 25/223
Epoch 8, train accuracy:12.74%, batch: 26/223
Epoch 8, train accuracy:12.50%, batch: 27/223
Epoch 8, train accuracy:12.28%, batch: 28/223
Epoch 8, train accuracy:12.07%, batch: 29/223
Epoch 8, train accuracy:12.92%, batch: 30/223
Epoch 8, train accuracy:13.71%, batch: 31/223
Epoch 8, train accuracy:14.45%, batch: 32/223
Epoch 8, train accuracy:15.15%, batch: 33/223
Epoch 8, train accuracy:15.81%, batch: 34/223
Epoch 8, train accuracy:16.43%, batch: 35/223
Epoch 8, train accuracy:17.01%, batch: 36/223
Epoch 8, train accuracy:17.57%, batch: 37/223
Epoch 8, train accuracy:18.09%, batch: 38/223
Epoch 8, train accuracy:18.11%, batch: 39/223
Epoch 8, train accuracy:18.12%, batch: 40/223
Epoch 8, train accuracy:18.14%, batch: 41/223
Epoch 8, train accuracy:18.15%, batch: 42/223
Epoch 8, train accuracy:18.17%, batch: 43/223
Epoch 8, train accuracy:18.18%, batch: 44/223
Epoch 8, train accuracy:18.19%, batch: 45/223
Epoch 8, train accuracy:18.21%, batch: 46/223
Epoch 8, train accuracy:18.22%, batch: 47/223
Epoch 8, train accuracy:18.23%, batch: 48/223
Epoch 8, train accuracy:18.24%, batch: 49/223
Epoch 8, train accuracy:18.25%, batch: 50/223
Epoch 8, train accuracy:18.26%, batch: 51/223
Epoch 8, train accuracy:18.27%, batch: 52/223
Epoch 8, train accuracy:18.28%, batch: 53/223
Epoch 8, train accuracy:18.29%, batch: 54/223
Epoch 8, train accuracy:18.30%, batch: 55/223
Epoch 8, train accuracy:18.30%, batch: 56/223
Epoch 8, train accuracy:18.31%, batch: 57/223
Epoch 8, train accuracy:18.32%, batch: 58/223
Epoch 8, train accuracy:18.33%, batch: 59/223
Epoch 8, train accuracy:18.33%, batch: 60/223
Epoch 8, train accuracy:18.34%, batch: 61/223
