Epoch,Batch,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Divergence_Loss,Supervised_Loss,TSA_Limit
1.0,1.0,12.5,,12.5,0.23448748886585236,,0.1
1.0,2.0,0.0,,6.25,0.2281004935503006,,0.1028125
1.0,3.0,12.5,,8.333333333333334,0.23200929164886475,,0.10562500000000001
1.0,4.0,12.5,,9.375,0.22829890251159668,,0.1084375
1.0,5.0,0.0,,7.5,0.23908288776874542,,0.11125
1.0,6.0,14.285715103149414,,8.630952517191568,0.23200258612632751,,0.11406250000000001
1.0,7.0,28.571430206298828,,11.479592187064034,0.2258000522851944,,0.116875
1.0,8.0,12.319999694824219,,11.830357551574707,0.22820444405078888,,0.1196875
2.0,1.0,25.0,,25.0,0.21626488864421844,,0.12250000000000001
2.0,2.0,25.0,,25.0,0.2217361032962799,,0.1253125
2.0,3.0,25.0,,25.0,0.22467327117919922,,0.12812500000000002
2.0,4.0,12.5,,21.875,0.22669747471809387,,0.1309375
2.0,5.0,0.0,,17.5,0.22239597141742706,,0.13375
2.0,6.0,28.571430206298828,,19.345238367716473,0.2140546292066574,,0.1365625
2.0,7.0,14.285715103149414,,18.622449329921178,0.21385270357131958,,0.139375
2.0,8.0,23.8700008392334,,21.65178608894348,0.2071903496980667,,0.14218750000000002
3.0,1.0,12.5,,12.5,0.22080513834953308,,0.14500000000000002
3.0,2.0,37.5,,25.0,0.20240144431591034,,0.1478125
3.0,3.0,37.5,,29.166666666666668,0.1963428258895874,,0.150625
3.0,4.0,25.0,,28.125,0.23237872123718262,,0.1534375
3.0,5.0,14.285715103149414,,25.357143020629884,0.22855426371097565,,0.15625
3.0,6.0,57.142860412597656,,30.654762585957844,0.19979310035705566,,0.1590625
3.0,7.0,42.85714340209961,,32.39795984540667,0.16278260946273804,,0.16187500000000002
3.0,8.0,39.709999084472656,,31.91964364051819,0.1808452308177948,,0.1646875
4.0,1.0,25.0,,25.0,0.19856463372707367,,0.1675
4.0,2.0,37.5,,31.25,0.18743255734443665,,0.1703125
4.0,3.0,62.5,,41.666666666666664,0.14875218272209167,,0.17312500000000003
4.0,4.0,37.5,,40.625,0.16517186164855957,,0.17593750000000002
4.0,5.0,42.85714340209961,,41.07142868041992,0.19958730041980743,,0.17875000000000002
4.0,6.0,42.85714340209961,,41.36904780069987,0.17059175670146942,,0.18156250000000002
4.0,7.0,57.142860412597656,,43.622449602399556,0.14953862130641937,,0.184375
4.0,8.0,45.31999969482422,,45.312500953674316,0.14474476873874664,,0.1871875
5.0,1.0,50.0,,50.0,0.15604284405708313,,0.19
5.0,2.0,50.0,,50.0,0.12768545746803284,,0.1928125
5.0,3.0,62.5,,54.166666666666664,0.10682128369808197,,0.195625
5.0,4.0,37.5,,50.0,0.23500347137451172,,0.1984375
5.0,5.0,57.142860412597656,,51.42857208251953,0.14344651997089386,,0.20125
5.0,6.0,85.71428680419922,,57.14285786946615,0.08632388710975647,,0.2040625
5.0,7.0,57.142860412597656,,57.14285823277065,0.11245951056480408,,0.206875
5.0,8.0,59.53999710083008,,57.14285850524902,0.10023827850818634,,0.2096875
6.0,1.0,87.5,,87.5,0.08865980803966522,,0.21250000000000002
6.0,2.0,62.5,,75.0,0.09041185677051544,,0.21531250000000002
6.0,3.0,75.0,,75.0,0.06474553048610687,,0.218125
6.0,4.0,50.0,,68.75,0.12346631288528442,,0.2209375
6.0,5.0,100.0,,75.0,0.04090152680873871,,0.22375
6.0,6.0,71.42857360839844,,74.4047622680664,0.06588347256183624,,0.2265625
6.0,7.0,85.71428680419922,,76.0204086303711,0.04531162232160568,,0.229375
6.0,8.0,63.540000915527344,,75.44642925262451,0.05853888764977455,,0.23218750000000002
7.0,1.0,62.5,,62.5,0.1197836622595787,,0.23500000000000001
7.0,2.0,75.0,,68.75,0.05929100513458252,,0.2378125
7.0,3.0,75.0,,70.83333333333333,0.047278620302677155,,0.240625
7.0,4.0,37.5,,62.5,0.13384588062763214,,0.2434375
7.0,5.0,85.71428680419922,,67.14285736083984,0.04783899337053299,,0.24625000000000002
7.0,6.0,85.71428680419922,,70.23809560139973,0.0338868610560894,,0.2490625
7.0,7.0,71.42857360839844,,70.40816388811383,0.09840913861989975,,0.251875
7.0,8.0,68.37000274658203,,70.53571510314941,0.09987705945968628,,0.2546875
8.0,1.0,87.5,,87.5,0.03763236850500107,,0.2575
8.0,2.0,87.5,,87.5,0.053388435393571854,,0.2603125
8.0,3.0,100.0,,91.66666666666667,0.020377814769744873,,0.263125
8.0,4.0,62.5,,84.375,0.06730668246746063,,0.26593750000000005
8.0,5.0,100.0,,87.5,0.02837991528213024,,0.26875000000000004
8.0,6.0,85.71428680419922,,87.2023811340332,0.03801276162266731,,0.27156250000000004
8.0,7.0,71.42857360839844,,84.94898005894252,0.05260372906923294,,0.27437500000000004
8.0,8.0,70.42000579833984,,85.04464340209961,0.04886740818619728,,0.27718750000000003
9.0,1.0,87.5,,87.5,0.031433433294296265,,0.28
9.0,2.0,87.5,,87.5,0.022904515266418457,,0.2828125
9.0,3.0,100.0,,91.66666666666667,0.011451859027147293,,0.285625
9.0,4.0,87.5,,90.625,0.037935711443424225,,0.2884375
9.0,5.0,100.0,,92.5,0.006981563288718462,,0.29125
9.0,6.0,100.0,,93.75,0.003997562453150749,,0.2940625
9.0,7.0,100.0,,94.64285714285714,0.006266293115913868,,0.296875
9.0,8.0,72.2699966430664,,95.3125,0.007213398348540068,,0.2996875
10.0,1.0,87.5,,87.5,0.022864434868097305,,0.3025
10.0,2.0,87.5,,87.5,0.01051955483853817,,0.3053125
10.0,3.0,100.0,,91.66666666666667,0.017462048679590225,,0.308125
10.0,4.0,62.5,,84.375,0.08414595574140549,,0.3109375
10.0,5.0,71.42857360839844,,81.78571472167968,0.04813932627439499,,0.31375
10.0,6.0,100.0,,84.82142893473308,0.00309463357552886,,0.3165625
10.0,7.0,100.0,,86.9897962297712,0.012335279025137424,,0.31937499999999996
10.0,8.0,72.22999572753906,,86.8303575515747,0.03617109730839729,,0.3221875
11.0,1.0,100.0,,100.0,0.01415237970650196,,0.325
11.0,2.0,75.0,,87.5,0.05372225120663643,,0.3278125
11.0,3.0,87.5,,87.5,0.03652658313512802,,0.330625
11.0,4.0,87.5,,87.5,0.03484462574124336,,0.33343750000000005
11.0,5.0,71.42857360839844,,84.28571472167968,0.026199648156762123,,0.33625000000000005
11.0,6.0,100.0,,86.9047622680664,0.004999317694455385,,0.33906250000000004
11.0,7.0,100.0,,88.7755105154855,0.010119492188096046,,0.34187500000000004
11.0,8.0,70.26000213623047,,90.1785717010498,0.009637863375246525,,0.3446875
12.0,1.0,87.5,,87.5,0.03240024670958519,,0.34750000000000003
12.0,2.0,100.0,,93.75,0.002662645885720849,,0.3503125
12.0,3.0,87.5,,91.66666666666667,0.022300150245428085,,0.353125
12.0,4.0,87.5,,90.625,0.022608324885368347,,0.3559375
12.0,5.0,100.0,,92.5,0.0020790603011846542,,0.35875
12.0,6.0,85.71428680419922,,91.36904780069987,0.02435903251171112,,0.3615625
12.0,7.0,100.0,,92.60204097202846,0.01231396570801735,,0.364375
12.0,8.0,73.9000015258789,,91.7410717010498,0.048130471259355545,,0.3671875
13.0,1.0,100.0,,100.0,0.0019791843369603157,,0.37
13.0,2.0,100.0,,100.0,0.006383177358657122,,0.3728125
13.0,3.0,100.0,,100.0,0.007001422345638275,,0.375625
13.0,4.0,87.5,,96.875,0.04131288453936577,,0.3784375
13.0,5.0,85.71428680419922,,94.64285736083984,0.01668381877243519,,0.38125
13.0,6.0,100.0,,95.53571446736653,0.005469182506203651,,0.3840625
13.0,7.0,100.0,,96.17346954345703,0.001680149114690721,,0.38687499999999997
13.0,8.0,74.33999633789062,,96.6517858505249,0.008865862153470516,,0.3896875000000001
14.0,1.0,100.0,,100.0,0.0011688446393236518,,0.39250000000000007
14.0,2.0,100.0,,100.0,0.009055139496922493,,0.39531250000000007
14.0,3.0,100.0,,100.0,0.0021169923711568117,,0.39812499999999995
14.0,4.0,100.0,,100.0,0.003814202267676592,,0.40093749999999995
14.0,5.0,71.42857360839844,,94.28571472167968,0.03433512896299362,,0.40375000000000005
14.0,6.0,100.0,,95.23809560139973,0.0014054955681785941,,0.40656250000000005
14.0,7.0,100.0,,95.91836765834263,0.002226445125415921,,0.40937500000000004
14.0,8.0,75.77999877929688,,96.4285717010498,0.006346419453620911,,0.41218750000000004
15.0,1.0,87.5,,87.5,0.017551006749272346,,0.41500000000000004
15.0,2.0,100.0,,93.75,0.0011809362331405282,,0.41781250000000003
15.0,3.0,100.0,,95.83333333333333,0.00870528444647789,,0.420625
15.0,4.0,100.0,,96.875,0.008140969090163708,,0.4234375
15.0,5.0,100.0,,97.5,0.0012533038388937712,,0.42625
15.0,6.0,100.0,,97.91666666666667,0.0007765849004499614,,0.4290625
15.0,7.0,85.71428680419922,,96.17346954345703,0.04904588684439659,,0.431875
15.0,8.0,72.75,,96.6517858505249,0.0023589159827679396,,0.4346875
16.0,1.0,100.0,,100.0,0.014842182397842407,,0.4375
16.0,2.0,100.0,,100.0,0.0006536386208608747,,0.4403125
16.0,3.0,100.0,,100.0,0.0030661586206406355,,0.443125
16.0,4.0,100.0,,100.0,0.0023337944876402617,,0.4459375
16.0,5.0,100.0,,100.0,0.0006938427686691284,,0.44875
16.0,6.0,85.71428680419922,,97.61904780069987,0.020571989938616753,,0.4515625
16.0,7.0,100.0,,97.95918382917132,0.0009029047796502709,,0.454375
16.0,8.0,72.72999572753906,,96.4285717010498,0.015038787387311459,,0.45718749999999997
17.0,1.0,100.0,,100.0,0.009195137768983841,,0.4600000000000001
17.0,2.0,100.0,,100.0,0.00028212447068654,,0.46281250000000007
17.0,3.0,100.0,,100.0,0.004546196665614843,,0.46562500000000007
17.0,4.0,100.0,,100.0,0.003837121184915304,,0.46843749999999995
17.0,5.0,100.0,,100.0,0.0019231146434322,,0.47124999999999995
17.0,6.0,100.0,,100.0,0.005576367489993572,,0.47406250000000005
17.0,7.0,100.0,,100.0,0.001616193912923336,,0.47687500000000005
17.0,8.0,75.11000061035156,,100.0,0.0005045204889029264,,0.47968750000000004
18.0,1.0,87.5,,87.5,0.0224141962826252,,0.48250000000000004
18.0,2.0,100.0,,93.75,0.008600677363574505,,0.48531250000000004
18.0,3.0,100.0,,95.83333333333333,0.005606925580650568,,0.48812500000000003
18.0,4.0,100.0,,96.875,0.009711000137031078,,0.4909375
18.0,5.0,100.0,,97.5,0.0040225675329566,,0.49375
18.0,6.0,100.0,,97.91666666666667,0.005565761588513851,,0.4965625
18.0,7.0,100.0,,98.21428571428571,0.0018939214060083032,,0.499375
18.0,8.0,75.93000030517578,,98.4375,0.001979531953111291,,0.5021875
19.0,1.0,100.0,,100.0,0.0007140901871025562,,0.505
19.0,2.0,100.0,,100.0,0.00010835191642399877,,0.5078125
19.0,3.0,100.0,,100.0,0.0005326300160959363,,0.510625
19.0,4.0,100.0,,100.0,0.0017486189026385546,,0.5134375
19.0,5.0,71.42857360839844,,94.28571472167968,0.05822887271642685,,0.51625
19.0,6.0,100.0,,95.23809560139973,0.00039538039709441364,,0.5190625
19.0,7.0,100.0,,95.91836765834263,0.010293138213455677,,0.521875
19.0,8.0,75.80000305175781,,94.6428575515747,0.012159970588982105,,0.5246875
20.0,1.0,100.0,,100.0,0.004181652795523405,,0.5275
20.0,2.0,87.5,,93.75,0.05553104728460312,,0.5303125000000001
20.0,3.0,100.0,,95.83333333333333,0.0009574932628311217,,0.5331250000000001
20.0,4.0,62.5,,87.5,0.0629613995552063,,0.5359375000000001
20.0,5.0,100.0,,90.0,6.7984251472807955e-06,,0.53875
20.0,6.0,100.0,,91.66666666666667,0.002727322746068239,,0.5415625
20.0,7.0,100.0,,92.85714285714286,0.0006117528537288308,,0.544375
20.0,8.0,71.33000183105469,,93.75,9.301117825089023e-05,,0.5471875
21.0,1.0,87.5,,87.5,0.058950912207365036,,0.55
21.0,2.0,100.0,,93.75,6.566013325937092e-05,,0.5528125
21.0,3.0,87.5,,91.66666666666667,0.0210898295044899,,0.555625
21.0,4.0,87.5,,90.625,0.036750003695487976,,0.5584375
21.0,5.0,100.0,,92.5,0.0005640228046104312,,0.56125
21.0,6.0,100.0,,93.75,0.000782698392868042,,0.5640625
21.0,7.0,100.0,,94.64285714285714,0.012125775218009949,,0.566875
21.0,8.0,73.30999755859375,,95.3125,0.000828475458547473,,0.5696875
22.0,1.0,100.0,,100.0,0.0028753476217389107,,0.5725
22.0,2.0,100.0,,100.0,0.0036862168926745653,,0.5753125
22.0,3.0,100.0,,100.0,0.006946901325136423,,0.578125
22.0,4.0,100.0,,100.0,0.0012710883747786283,,0.5809375000000001
22.0,5.0,100.0,,100.0,0.0012877434492111206,,0.58375
22.0,6.0,100.0,,100.0,0.0007954670581966639,,0.5865625
22.0,7.0,100.0,,100.0,0.005143535789102316,,0.589375
22.0,8.0,75.19999694824219,,100.0,0.004617099650204182,,0.5921875
23.0,1.0,100.0,,100.0,0.00031694379867985845,,0.5950000000000001
23.0,2.0,100.0,,100.0,0.0003550082037691027,,0.5978125
23.0,3.0,100.0,,100.0,0.00011940116382902488,,0.600625
23.0,4.0,100.0,,100.0,0.0010043260408565402,,0.6034375
23.0,5.0,85.71428680419922,,97.14285736083984,0.016578737646341324,,0.60625
23.0,6.0,100.0,,97.61904780069987,0.0014346521347761154,,0.6090625000000001
23.0,7.0,100.0,,97.95918382917132,0.007298881653696299,,0.611875
23.0,8.0,76.72000122070312,,96.4285717010498,0.023331990465521812,,0.6146875
24.0,1.0,100.0,,100.0,5.976805550744757e-05,,0.6174999999999999
