Epoch,Batch,Training_Accuracy,Validation_Accuracy,Weighted_Training_Accuracy,Divergence_Loss,Supervised_Loss,TSA_Limit
1.0,1.0,12.5,,12.5,0.23245353996753693,,0.1
1.0,2.0,37.5,,25.0,0.22149622440338135,,0.10562500000000001
1.0,3.0,12.5,,20.833333333333332,0.23399224877357483,,0.11125
1.0,4.0,37.5,,25.0,0.2178184688091278,,0.116875
1.0,5.0,0.0,,20.0,0.24241264164447784,,0.12250000000000001
1.0,6.0,28.571430206298828,,21.428571701049805,0.23318424820899963,,0.12812500000000002
1.0,7.0,28.571430206298828,,22.44898005894252,0.22488562762737274,,0.13375
1.0,8.0,14.285715103149414,12.850000381469727,21.428571939468384,0.22849830985069275,,0.139375
2.0,1.0,37.5,,37.5,0.21606209874153137,,0.14500000000000002
2.0,2.0,12.5,,25.0,0.22806254029273987,,0.150625
2.0,3.0,25.0,,25.0,0.22244064509868622,,0.15625
2.0,4.0,25.0,,25.0,0.22005538642406464,,0.16187500000000002
2.0,5.0,14.285715103149414,,22.857143020629884,0.2143654078245163,,0.1675
2.0,6.0,28.571430206298828,,23.809524218241375,0.21795949339866638,,0.17312500000000003
2.0,7.0,57.142860412597656,,28.5714293888637,0.19518853724002838,,0.17875000000000002
2.0,8.0,28.571430206298828,20.670000076293945,28.57142949104309,0.18711167573928833,,0.184375
3.0,1.0,50.0,,50.0,0.18686407804489136,,0.19
3.0,2.0,12.5,,31.25,0.2206040918827057,,0.195625
3.0,3.0,50.0,,37.5,0.17293059825897217,,0.20125
3.0,4.0,12.5,,31.25,0.26279085874557495,,0.206875
3.0,5.0,14.285715103149414,,27.857143020629884,0.23882971704006195,,0.21250000000000002
3.0,6.0,28.571430206298828,,27.97619088490804,0.19876223802566528,,0.218125
3.0,7.0,42.85714340209961,,30.102041244506836,0.1810300350189209,,0.22375
3.0,8.0,42.85714340209961,42.29999923706055,31.696429014205933,0.1854722648859024,,0.229375
4.0,1.0,37.5,,37.5,0.17894768714904785,,0.23500000000000001
4.0,2.0,75.0,,56.25,0.15052345395088196,,0.240625
4.0,3.0,62.5,,58.333333333333336,0.15762193500995636,,0.24625000000000002
4.0,4.0,50.0,,56.25,0.1997085064649582,,0.251875
4.0,5.0,42.85714340209961,,53.57142868041992,0.1873447746038437,,0.2575
4.0,6.0,42.85714340209961,,51.78571446736654,0.13868416845798492,,0.263125
4.0,7.0,57.142860412597656,,52.55102103097098,0.13275252282619476,,0.26875000000000004
4.0,8.0,42.85714340209961,55.62000274658203,51.33928632736206,0.12048786878585815,,0.27437500000000004
5.0,1.0,75.0,,75.0,0.11445953696966171,,0.28
5.0,2.0,75.0,,75.0,0.10611134767532349,,0.285625
5.0,3.0,75.0,,75.0,0.09897473454475403,,0.29125
5.0,4.0,37.5,,65.625,0.11296646296977997,,0.296875
5.0,5.0,42.85714340209961,,61.07142868041992,0.11619459092617035,,0.3025
5.0,6.0,85.71428680419922,,65.1785717010498,0.04916137829422951,,0.308125
5.0,7.0,14.285715103149414,,57.908163615635466,0.20082345604896545,,0.31375
5.0,8.0,57.142860412597656,63.75,57.81250071525574,0.15584583580493927,,0.31937499999999996
6.0,1.0,50.0,,50.0,0.10298091173171997,,0.325
6.0,2.0,50.0,,50.0,0.10257788002490997,,0.330625
6.0,3.0,100.0,,66.66666666666667,0.03888549655675888,,0.33625000000000005
6.0,4.0,50.0,,62.5,0.15776479244232178,,0.34187500000000004
6.0,5.0,100.0,,70.0,0.0507856160402298,,0.34750000000000003
6.0,6.0,28.571430206298828,,63.09523836771647,0.09450612217187881,,0.353125
6.0,7.0,85.71428680419922,,66.32653100149972,0.09733081609010696,,0.35875
6.0,8.0,71.42857360839844,65.91999816894531,66.96428632736206,0.08252224326133728,,0.364375
7.0,1.0,87.5,,87.5,0.04631398245692253,,0.37
7.0,2.0,100.0,,93.75,0.034979552030563354,,0.375625
7.0,3.0,87.5,,91.66666666666667,0.0473388247191906,,0.38125
7.0,4.0,75.0,,87.5,0.05261201411485672,,0.38687499999999997
7.0,5.0,71.42857360839844,,84.28571472167968,0.0732048973441124,,0.39250000000000007
7.0,6.0,71.42857360839844,,82.14285786946614,0.09396971762180328,,0.39812499999999995
7.0,7.0,85.71428680419922,,82.65306200299945,0.046233516186475754,,0.40375000000000005
7.0,8.0,71.42857360839844,66.87999725341797,81.25000095367432,0.09263324737548828,,0.40937500000000004
8.0,1.0,87.5,,87.5,0.04461422935128212,,0.41500000000000004
8.0,2.0,87.5,,87.5,0.04515240341424942,,0.420625
8.0,3.0,87.5,,87.5,0.04222603514790535,,0.42625
8.0,4.0,62.5,,81.25,0.10208084434270859,,0.431875
8.0,5.0,85.71428680419922,,82.14285736083984,0.03488844633102417,,0.4375
8.0,6.0,85.71428680419922,,82.73809560139973,0.03171931207180023,,0.443125
8.0,7.0,85.71428680419922,,83.16326577322823,0.04279539734125137,,0.44875
8.0,8.0,57.142860412597656,73.75,79.91071510314941,0.07515417039394379,,0.454375
9.0,1.0,100.0,,100.0,0.013697540387511253,,0.4600000000000001
9.0,2.0,87.5,,93.75,0.019801180809736252,,0.46562500000000007
9.0,3.0,100.0,,95.83333333333333,0.011875803582370281,,0.47124999999999995
9.0,4.0,62.5,,87.5,0.06920933723449707,,0.47687500000000005
9.0,5.0,100.0,,90.0,0.007364141754806042,,0.48250000000000004
9.0,6.0,100.0,,91.66666666666667,0.01994355581700802,,0.48812500000000003
9.0,7.0,100.0,,92.85714285714286,0.0028416223358362913,,0.49375
9.0,8.0,100.0,70.68000030517578,93.75,0.012781650759279728,,0.499375
10.0,1.0,75.0,,75.0,0.052709270268678665,,0.505
10.0,2.0,100.0,,87.5,0.018101315945386887,,0.510625
10.0,3.0,100.0,,91.66666666666667,0.018432801589369774,,0.51625
10.0,4.0,100.0,,93.75,0.011792439967393875,,0.521875
10.0,5.0,85.71428680419922,,92.14285736083984,0.07599548250436783,,0.5275
10.0,6.0,100.0,,93.4523811340332,0.002692340174689889,,0.5331250000000001
10.0,7.0,71.42857360839844,,90.30612291608539,0.08340246975421906,,0.53875
